College G. Bush School of Govt,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College College Station Compus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,,,102,100.0%,,,,,102,100.0%,
,Female,,,33,32.4%,,,,,33,32.4%,
,Male,,,69,67.6%,,,,,69,67.6%,
Ethnicity,White Only (NEW),,,75,73.5%,,,,,75,73.5%,
,Black Only + 2 or more/1 Black (NEW),,,6,5.9%,,,,,6,5.9%,
,Hispanic or Latino of any Race (NEW),,,15,14.7%,,,,,15,14.7%,
,Asian Only (NEW),,,2,2.0%,,,,,2,2.0%,
,Native Hawaii Only (New),,,,,,,,,,,
,American Indian Only (NEW),,,1,1.0%,,,,,1,1.0%,
,International,,,,,,,,,,,
,2 or More/Excluding Black (NEW),,,1,1.0%,,,,,1,1.0%,
,Unknown or Not Reported,,,2,2.0%,,,,,2,2.0%,
,Total,,,102,100.0%,,,,,102,100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,,,3,2.9%,,,,,3,2.9%,
,22-25,,,24,23.5%,,,,,24,23.5%,
,26-30,,,25,24.5%,,,,,25,24.5%,
,31-39,,,26,25.5%,,,,,26,25.5%,
,40+,,,24,23.5%,,,,,24,23.5%,
Enrollment Status,1st Time in College,,,,,,,,,,,
,1st Time PB,,,41,40.2%,,,,,41,40.2%,
,1st Time Graduate,,,1,1.0%,,,,,1,1.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,60,58.8%,,,,,60,58.8%,
Tuition Status,Resident Tuition,,,66,64.7%,,,,,66,64.7%,
,Non-Resident Tuition,,,12,11.8%,,,,,12,11.8%,
,Tuition Exemption/Waiver,,,24,23.5%,,,,,24,23.5%,
Residency Status,Texas Resident,,,92,90.2%,,,,,92,90.2%,
,"Non-TX, US Resident",,,10,9.8%,,,,,10,9.8%,
,"Non-TX, Non-US Resident",,,,,,,,,,,
SCH Categories,< 6 SCH,,,65,63.7%,,,,,65,63.7%,
,6-8 SCH,,,33,32.4%,,,,,33,32.4%,
,9-11 SCH,,,1,1.0%,,,,,1,1.0%,
,12-14 SCH,,,3,2.9%,,,,,3,2.9%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,
,Half-Time,,,64,62.7%,,,,,64,62.7%,
,Full-Time,,,38,37.3%,,,,,38,37.3%,
Top 10% Texas High School,No,,,98,96.1%,,,,,98,96.1%,
,Yes,,,4,3.9%,,,,,4,3.9%,
First Generation,No,,,64,62.7%,,,,,64,62.7%,
,Unknown,,,7,6.9%,,,,,7,6.9%,
,Yes,,,31,30.4%,,,,,31,30.4%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,,,
