Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,2,2,,,2,
,APMS,,,3,2,,5,,,,,,,,5,
,BIOL,3,7,15,27,,52,,,,,,,,52,
,BMCB,,1,3,3,,7,,,,,,,,7,
,BOTN,,,,,,,,,,1,1,,,1,
,CHEM,,1,1,4,,6,,3,3,11,11,,,20,
,GENE,,,,,,,,,,,,,,,
,MATH,,,4,6,,10,,3,3,,,,,13,
,MBIO,1,,2,1,,4,,,,1,1,,,5,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,1,3,3,3,,10,,3,3,6,6,,,19,
,STAT,,,,,,,2,4,6,,,,,6,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,2,,2,,,,,,,,2,
,Subtotal,5,12,31,48,,96,2,13,15,21,21,,,132,
Veterinary Medicine,BIMS,3,7,21,29,,60,,1,1,1,1,,,62,
,BIOT,,,,,,,,1,1,,,,,1,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,1,1,,,,,1,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,1,1,,,1,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,10,10,10,
,VTMI,,,,,,,,,,,,,,,
,VTPH,,,,,,,,,,,,,,,
,Subtotal,3,7,21,29,,60,,3,3,2,2,10,10,75,
General Studies,GEST,92,49,15,,,156,,,,,,,,156,
,TEAM,6,13,6,,,25,,,,,,,,25,
,Subtotal,98,62,21,,,181,,,,,,,,181,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
