Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,,7,14,,21,,6,6,2,2,,,29,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,1,1,,2,,,,,,,,2,
,BUAD,2,2,3,,,7,,4,4,,,,,11,
,FINC,,,4,7,,11,,4,4,1,1,,,16,
,INFO,,,1,1,,2,,,,,,,,2,
,MGMT,,,,3,,3,,,,3,3,,,6,
,MISY,,,,,,,,5,5,,,,,5,
,MKTG,,,,3,,3,,2,2,,,,,5,
,MLER,,,,,,,,2,2,,,,,2,
,USBU,,,1,1,,2,,,,,,,,2,
,Subtotal,2,2,17,30,,51,,23,23,6,6,,,80,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,2,2,,,2,
,EDAD,,,,,,,,2,2,2,2,,,4,
,EDCI,,,,,,,,1,1,1,1,,,2,
,EDHL,,1,1,,,2,,,,,,,,2,
,EDIS,,,1,,,1,,,,,,,,1,
,EDKI,1,,1,1,1,4,,,,,,,,4,
,EDSM,,,,,,,,,,,,,,,
,EDTC,,,,,,,,,,,,,,,
,EHRD,,,,,,,,,,4,4,,,4,
,EPSY,,,,,,,,1,1,1,1,,,2,
,HEED,,,,,,,,,,1,1,,,1,
,HLTH,,,2,4,,6,,,,,,,,6,
,HRDL,,,,1,,1,,,,,,,,1,
,HRDV,,,,6,,6,,,,,,,,6,
,INST,,,,4,,4,,,,,,,,4,
,KINE,,,,3,,3,,1,1,2,2,,,6,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,1,1,,,,,1,
,SPMT,,,,1,,1,,2,2,,,,,3,
,SPSY,,,,,,,,,,3,3,,,3,
,TCMG,,,1,2,,3,,,,,,,,3,
,TCML,,1,2,,,3,,,,,,,,3,
,TECR,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
