Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,"4,349",100.0%,616,100.0%,673,100.0%,,,"5,638",100.0%,
Female,"3,308",76.1%,443,71.9%,435,64.6%,,,"4,186",74.2%,
Male,"1,041",23.9%,173,28.1%,238,35.4%,,,"1,452",25.8%,
Ethnicity                  White Only (NEW),"3,317",76.3%,369,59.9%,295,43.8%,,,"3,981",70.6%,
American Indian Only (NEW),6,.1%,2,.3%,3,.4%,,,11,.2%,
Asian Only (NEW),83,1.9%,18,2.9%,24,3.6%,,,125,2.2%,
Black Only + 2 or more/1 Black (NEW),164,3.8%,44,7.1%,118,17.5%,,,326,5.8%,
Hispanic or Latino of any Race (NEW),682,15.7%,96,15.6%,117,17.4%,,,895,15.9%,
Native Hawaii Only (New),2,.0%,,,,,,,2,.0%,
2 or More/Excluding Black (NEW),82,1.9%,10,1.6%,11,1.6%,,,103,1.8%,
International,13,.3%,71,11.5%,101,15.0%,,,185,3.3%,
Unknown or Not Reported,,,6,1.0%,4,.6%,,,10,.2%,
TAMU Age               <18,2,.0%,,,,,,,2,.0%,
Categories                18-21,"3,180",73.1%,6,1.0%,,,,,"3,186",56.5%,
22-25,"1,100",25.3%,304,49.4%,45,6.7%,,,"1,449",25.7%,
26-30,35,.8%,145,23.5%,156,23.2%,,,336,6.0%,
31-39,18,.4%,102,16.6%,224,33.3%,,,344,6.1%,
40+,14,.3%,59,9.6%,248,36.8%,,,321,5.7%,
Enrollment Status  1st Time in College,580,13.3%,,,,,,,580,10.3%,
1st Time Graduate,,,255,41.4%,110,16.3%,,,365,6.5%,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,277,6.4%,,,,,,,277,4.9%,
Readmitted,52,1.2%,1,.2%,6,.9%,,,59,1.0%,
Continuing,"3,440",79.1%,360,58.4%,557,82.8%,,,"4,357",77.3%,
Tuition Status         Resident Tuition,"4,115",94.6%,471,76.5%,496,73.7%,,,"5,082",90.1%,
Non-Resident Tuition,47,1.1%,76,12.3%,35,5.2%,,,158,2.8%,
Tuition Exemption/Waiver,187,4.3%,69,11.2%,142,21.1%,,,398,7.1%,
Residency Status    Texas Resident,"4,272",98.2%,495,80.4%,517,76.8%,,,"5,284",93.7%,
"Non-TX, US Resident",65,1.5%,50,8.1%,57,8.5%,,,172,3.1%,
"Non-TX, Non-US Resident",12,.3%,71,11.5%,99,14.7%,,,182,3.2%,
SCH Categories       < 6 SCH,25,.6%,97,15.7%,229,34.0%,,,351,6.2%,
6-8 SCH,245,5.6%,223,36.2%,136,20.2%,,,604,10.7%,
9-11 SCH,151,3.5%,222,36.0%,275,40.9%,,,648,11.5%,
12-14 SCH,"2,285",52.5%,71,11.5%,32,4.8%,,,"2,388",42.4%,
15-17 SCH,"1,571",36.1%,2,.3%,1,.1%,,,"1,574",27.9%,
>17 SCH,72,1.7%,1,.2%,,,,,73,1.3%,
Ft/Pt:  TAMU          Less Than Half Time,25,.6%,83,13.5%,189,28.1%,,,297,5.3%,
Status                        Half-Time,397,9.1%,239,38.8%,178,26.4%,,,814,14.4%,
Full-Time,"3,927",90.3%,294,47.7%,306,45.5%,,,"4,527",80.3%,
Top 10% Texas        No,"2,502",57.5%,599,97.2%,636,94.5%,,,"3,737",66.3%,
High School             Yes,"1,847",42.5%,17,2.8%,37,5.5%,,,"1,901",33.7%,
First Generation     No,"3,109",71.5%,334,54.2%,303,45.0%,,,"3,746",66.4%,
Unknown,88,2.0%,81,13.1%,135,20.1%,,,304,5.4%,
Yes,"1,152",26.5%,201,32.6%,235,34.9%,,,"1,588",28.2%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 10,,,,,,,,,,,
