Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERL,9,6,,,,15,,,,,,,15
,AERO,,,4,3,,7,,,,,,,7
,BMEL,3,2,1,,,6,,,,,,,6
,BMEN,,1,1,8,,10,,,1,1,,,11
,CECL,1,2,2,,,5,,,,,,,5
,CECN,,,,1,,1,,,,,,,1
,CEEL,,,1,,,1,,,,,,,1
,CEEN,,,2,2,,4,,,,,,,4
,CHEL,7,1,,,,8,,,,,,,8
,CHEN,,2,1,6,1,10,,,1,1,,,11
,CPSC,,,1,4,,5,1,1,,,,,6
,CPSL,3,,1,,,4,,,,,,,4
,CVEL,4,,,,,4,,,,,,,4
,CVEN,,1,,2,,3,1,1,1,1,,,5
,ELEL,6,2,3,,,11,,,,,,,11
,ELEN,,2,5,7,,14,2,2,,,,,16
,ENTC,,1,1,4,,6,,,,,,,6
,ENTL,1,,,,,1,,,,,,,1
,IDIL,,4,1,1,,6,,,,,,,6
,IDIS,,1,,4,,5,,,,,,,5
,INEL,2,,,,,2,,,,,,,2
,INEN,,,6,3,,9,2,2,,,,,11
,MEEL,7,4,,,,11,,,,,,,11
,MEEN,,2,3,2,,7,2,2,1,1,,,10
,NUEL,3,2,1,,,6,,,,,,,6
,NUEN,,2,,1,,3,1,1,,,,,4
,OCEL,,1,,,,1,,,,,,,1
,OCEN,,1,,2,,3,1,1,,,,,4
,PETE,,1,4,1,,6,2,2,,,,,8
,PETL,5,3,1,,,9,,,,,,,9
,RHEN,,,1,2,,3,,,,,,,3
,Subtotal,51,41,40,53,1,186,12,12,4,4,,,202
