Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Science                             APHY,,,,,,,,,,1,1,,,1,
APMS,,1,3,2,3,,9,,,,,,,9,
BIOL,,10,6,4,10,,30,,,,,,,30,
BMCB,,2,,1,3,,6,,,,,,,6,
CHEM,,6,2,1,2,,11,,,1,1,,,12,
MATH,,5,3,1,6,,15,1,1,1,1,,,17,
MBIO,,,,3,1,,4,,,,,,,4,
MSEN,,,,,,,,,,1,1,,,1,
PHYS,,9,,,2,,11,2,2,2,2,,,15,
STAT,,,,,,,,1,1,1,1,,,2,
ZOOL,,2,1,,,,3,,,,,,,3,
Subtotal,,35,15,12,27,,89,4,4,7,7,,,100,
Veterinary Medicine     BIMS,,23,9,8,8,,48,1,1,,,,,49,
STJR,,,,,,,,1,1,,,,,1,
VPAT,,,,,,,,,,1,1,,,1,
VTMD,,,,,,,,,,,,2,2,2,
Subtotal,,23,9,8,8,,48,2,2,1,1,2,2,53,
"General Studies
University",GEST,21,24,2,,,47,,,,,,,47,
,"TEAM
Subtotal Total",27,8,,,,35,,,,,,,35,
,,48,32,2,,,82,,,,,,,82,
,,240,211,192,236,3,882,59,59,33,33,2,2,976,
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,,
