Ethnicity International,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,,
"Agriculture              WFSC WMHS
Subtotal",,,,,,,,5,5,14,14,19,
,,,,,,,,,,3,3,3,
,,5,6,12,20,,43,98,98,295,295,436,
"Architecture
Business Admin",ARCH,,,,,,,38,38,37,37,75,
,"COMG COSC COSL ENDL ENDS LAND LDEV LPDV URPL URSC VIST
Subtotal ACCT BUAD EMBA FINC INFO MGMT MISY MKTG MLER USBU
Subtotal",,,,,,,40,40,,,40,
,,,,1,1,,2,,,,,2,
,,1,,,1,,2,,,,,2,
,,1,,2,,,3,,,,,3,
,,,,1,,,1,,,,,1,
,,,,,,,,35,35,,,35,
,,,,,,,,8,8,,,8,
,,,,,,,,4,4,,,4,
,,,,,,,,20,20,,,20,
,,,1,1,,,2,,,41,41,43,
,,,,,1,,1,15,15,,,16,
,,2,1,5,3,,11,160,160,78,78,249,
,,,1,5,7,,13,14,14,,,27,
,,5,1,8,,,14,39,39,,,53,
,,,,,,,,2,2,,,2,
,,,1,2,4,,7,3,3,9,9,19,
,,,,3,3,,6,,,10,10,16,
,,,,1,2,,3,1,1,4,4,8,
,,,,,,,,129,129,,,129,
,,,,,,,,8,8,5,5,13,
,,,,,,,,1,1,,,1,
,,,,,1,,1,,,,,1,
,,5,3,19,17,,44,197,197,28,28,269,
