Fall 2012,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,287,238,525,3,3,6,52,58,110,23,16,39,167,131,298,,,,14,21,35,4,15,19,,2,2,550,484,
"TAMU Age           <18
Categories",4,3,7,,,,,,,1,,1,2,1,3,,,,1,,1,,,,,,,8,4,
18-21,283,235,518,3,3,6,51,58,109,22,16,38,165,129,294,,,,13,21,34,4,15,19,,2,2,541,479,
22-25,,,,,,,1,,1,,,,,1,1,,,,,,,,,,,,,1,1,
Classification      Freshman,263,216,479,3,3,6,46,55,101,19,15,34,137,110,247,,,,12,21,33,4,15,19,,1,1,484,436,
Sophomore,23,22,45,,,,4,2,6,3,1,4,19,13,32,,,,2,,2,,,,,1,1,51,39,
Junior,1,,1,,,,2,1,3,1,,1,10,8,18,,,,,,,,,,,,,14,9,
Senior,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,
Tuition Status     Resident Tuition,242,197,439,3,2,5,50,53,103,22,14,36,160,125,285,,,,10,19,29,,2,2,,1,1,487,413,
Non-Resident Tuition,7,5,12,,,,,2,2,,,,2,,2,,,,1,,1,4,9,13,,,,14,16,
Tuition Exemption/Waiver,38,36,74,,1,1,2,3,5,1,2,3,5,6,11,,,,3,2,5,,4,4,,1,1,49,55,
Residency            Texas Resident Status,273,218,491,3,3,6,51,54,105,23,15,38,164,130,294,,,,13,20,33,,2,2,,2,2,527,444,
"Non-TX, US Resident",14,19,33,,,,1,4,5,,1,1,3,1,4,,,,1,1,2,,,,,,,19,26,
"Non-TX, Non-US Resident",,1,1,,,,,,,,,,,,,,,,,,,4,13,17,,,,4,14,
SCH Categories  < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,
12-14 SCH,99,84,183,3,2,5,12,20,32,11,6,17,70,47,117,,,,3,6,9,2,4,6,,,,200,169,
15-17 SCH,188,153,341,,1,1,40,37,77,11,10,21,94,82,176,,,,11,15,26,2,8,10,,2,2,346,308,
>17 SCH,,1,1,,,,,1,1,,,,3,2,5,,,,,,,,3,3,,,,3,7,
"Ft/Pt:  TAMU     Less Than Half Time
Status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,1,,1,,,,,,,,,,,1,1,,,,1,1,
Full-Time,287,238,525,3,3,6,52,58,110,22,16,38,167,131,298,,,,14,21,35,4,14,18,,2,2,549,483,
"Top 10% Texas   No
High School",71,111,182,,1,1,18,23,41,1,4,5,24,32,56,,,,5,9,14,4,13,17,,,,123,193,
Yes,216,127,343,3,2,5,34,35,69,22,12,34,143,99,242,,,,9,12,21,,2,2,,2,2,427,291,
"First                      No
Generation",225,192,417,2,2,4,24,31,55,6,10,16,56,50,106,,,,11,13,24,,1,1,,2,2,324,301,
Unknown,4,7,11,,,,3,3,6,2,1,3,3,7,10,,,,1,1,2,4,14,18,,,,17,33,
Yes,58,39,97,1,1,2,25,24,49,15,5,20,108,74,182,,,,2,7,9,,,,,,,209,150,
"Dorm / Off-         Off-campus
campus",104,87,191,2,1,3,25,25,50,5,4,9,47,26,73,,,,4,10,14,2,10,12,,,,189,163,
students               Dorm (On-campus),183,151,334,1,2,3,27,33,60,18,12,30,120,105,225,,,,10,11,21,2,5,7,,2,2,361,321,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
