Fall 2012,White Only (NEW),,,"American India
(NEW)",,n Only,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,"Native Hawaii
(New)",,Only,2 or More/Excluding Black (NEW),,,International,,,Unknown or Reported,,Not,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,297,119,416,1,,1,39,23,62,35,7,42,117,42,159,1,,1,18,5,23,,,,1,,1,509,196,
"TAMU Age           <18
Categories",3,,3,,,,2,,2,1,,1,,,,,,,,1,1,,,,,,,6,1,
18-21,294,119,413,1,,1,37,23,60,34,7,41,117,42,159,1,,1,18,4,22,,,,1,,1,503,195,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification      Freshman,267,108,375,1,,1,32,22,54,31,7,38,104,39,143,1,,1,18,4,22,,,,,,,454,180,
Sophomore,25,9,34,,,,5,,5,2,,2,9,1,10,,,,,1,1,,,,1,,1,42,11,
Junior,5,2,7,,,,2,1,3,2,,2,4,2,6,,,,,,,,,,,,,13,5,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status     Resident Tuition,263,111,374,1,,1,34,21,55,27,6,33,109,42,151,1,,1,13,4,17,,,,1,,1,449,184,
Non-Resident Tuition,3,,3,,,,3,1,4,1,,1,,,,,,,,,,,,,,,,7,1,
Tuition Exemption/Waiver,31,8,39,,,,2,1,3,7,1,8,8,,8,,,,5,1,6,,,,,,,53,11,
Residency            Texas Resident,290,118,408,1,,1,36,22,58,35,7,42,116,42,158,1,,1,18,5,23,,,,1,,1,498,194,
"Status                   Non-TX, US Resident",7,1,8,,,,3,1,4,,,,1,,1,,,,,,,,,,,,,11,2,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories  < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,213,86,299,,,,27,17,44,24,5,29,89,29,118,1,,1,14,2,16,,,,,,,368,139,
15-17 SCH,84,33,117,1,,1,12,6,18,11,2,13,28,13,41,,,,4,3,7,,,,1,,1,141,57,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU     Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status                   Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,297,119,416,1,,1,39,23,62,35,7,42,117,42,159,1,,1,18,5,23,,,,1,,1,509,196,
Top 10% Texas   No High School,67,35,102,,,,20,15,35,3,2,5,16,7,23,,,,3,2,5,,,,,,,109,61,
Yes,230,84,314,1,,1,19,8,27,32,5,37,101,35,136,1,,1,15,3,18,,,,1,,1,400,135,
"First                      No
Generation",227,99,326,1,,1,25,13,38,15,3,18,35,18,53,1,,1,11,2,13,,,,1,,1,316,135,
Unknown,3,1,4,,,,1,1,2,1,,1,6,,6,,,,,,,,,,,,,11,2,
Yes,67,19,86,,,,13,9,22,19,4,23,76,24,100,,,,7,3,10,,,,,,,182,59,
Dorm / Off-         Off-campus campus,124,43,167,,,,10,7,17,11,2,13,30,8,38,,,,6,1,7,,,,,,,181,61,
students               Dorm (On-campus),173,76,249,1,,1,29,16,45,24,5,29,87,34,121,1,,1,12,4,16,,,,1,,1,328,135,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
