Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,165,198,363,1,,1,7,1,8,3,3,6,39,20,59,,,2,5,7,6,3,9,,1,1,223,231,454,
TAMU Age Categories,18-21,143,142,285,1,,1,5,1,6,3,3,6,32,13,45,,,2,4,6,4,1,5,,1,1,190,165,355,
22-25,,17,39,56,,,,2,,2,,,,6,5,11,,,,1,1,2,2,4,,,,27,47,74,
26-30,,2,10,12,,,,,,,,,,1,2,3,,,,,,,,,,,,3,12,15,
31-39,,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,
40+,,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
Classification,Freshman,7,10,17,,,,,,,1,1,2,1,3,4,,,1,,1,2,,2,,,,12,14,26,
Sophomore,,91,97,188,1,,1,3,,3,1,2,3,22,8,30,,,1,4,5,,1,1,,,,119,112,231,
Junior,,55,83,138,,,,3,1,4,1,,1,14,5,19,,,,1,1,3,2,5,,1,1,76,93,169,
Senior,,12,6,18,,,,1,,1,,,,2,4,6,,,,,,1,,1,,,,16,10,26,
U5 G6,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
Tuition Status,Resident Tuition,152,186,338,,,,6,1,7,2,3,5,35,17,52,,,2,5,7,,,,,,,197,212,409,
Non-Resident Tuition,,5,1,6,1,,1,,,,1,,1,,2,2,,,,,,4,3,7,,,,11,6,17,
Tuition Exemption/Waiver,,8,11,19,,,,1,,1,,,,4,1,5,,,,,,2,,2,,1,1,15,13,28,
Residency Status,Texas Resident,157,194,351,,,,7,1,8,2,3,5,38,19,57,,,2,5,7,,,,,,,206,222,428,
"Non-TX, US Resident",,8,4,12,1,,1,,,,1,,1,1,1,2,,,,,,,,,,1,1,11,6,17,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,6,3,9,,,,6,3,9,
SCH Categories,< 6 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
6-8 SCH,,2,3,5,,,,,,,,,,2,,2,,,,,,,,,,,,4,3,7,
9-11 SCH,,5,3,8,,,,2,,2,,,,2,2,4,,,1,,1,,,,,,,10,5,15,
12-14 SCH,,90,128,218,,,,2,,2,1,3,4,23,11,34,,,,4,4,3,,3,,1,1,119,147,266,
15-17 SCH,,63,62,125,1,,1,3,1,4,2,,2,12,7,19,,,1,1,2,2,3,5,,,,84,74,158,
>17 SCH,,4,2,6,,,,,,,,,,,,,,,,,,1,,1,,,,5,2,7,
Ft/Pt:  TAMU Status,Less Than Half Time,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Half-Time,,7,6,13,,,,2,,2,,,,4,2,6,,,1,,1,,,,,,,14,8,22,
Full-Time,,157,192,349,1,,1,5,1,6,3,3,6,35,18,53,,,1,5,6,6,3,9,,1,1,208,223,431,
"Top 10% Texas High
School",No,154,189,343,1,,1,6,1,7,3,1,4,37,20,57,,,2,4,6,6,3,9,,1,1,209,219,428,
Yes,,11,9,20,,,,1,,1,,2,2,2,,2,,,,1,1,,,,,,,14,12,26,
First Generation,No,107,130,237,1,,1,3,,3,3,1,4,21,10,31,,,2,4,6,,,,,,,137,145,282,
Unknown,,1,5,6,,,,,,,,,,,2,2,,,,,,6,3,9,,1,1,7,11,18,
Yes,,57,63,120,,,,4,1,5,,2,2,18,8,26,,,,1,1,,,,,,,79,75,154,
"Dorm / Off-campus
students",Off-campus,163,192,355,1,,1,4,1,5,2,3,5,38,15,53,,,2,4,6,5,3,8,,1,1,215,219,434,
Dorm (On-campus),,2,6,8,,,,3,,3,1,,1,1,5,6,,,,1,1,1,,1,,,,8,12,20,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
