College Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,16,62,78,,,,1,2,3,,1,1,11,15,26,,,,1,1,1,1,2,,,,29,82,111,
TAMU Age Categories,18-21,12,46,58,,,,1,2,3,,1,1,7,14,21,,,,1,1,,,,,,,20,64,84,
22-25,,2,13,15,,,,,,,,,,3,1,4,,,,,,1,1,2,,,,6,15,21,
26-30,,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,
Classification,Freshman,2,5,7,,,,,,,,,,2,2,4,,,,,,,,,,,,4,7,11,
Sophomore,,8,36,44,,,,,1,1,,,,2,6,8,,,,1,1,,,,,,,10,44,54,
Junior,,3,18,21,,,,1,1,2,,1,1,4,6,10,,,,,,1,1,2,,,,9,27,36,
Senior,,3,3,6,,,,,,,,,,3,1,4,,,,,,,,,,,,6,4,10,
U5 G6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,16,61,77,,,,1,2,3,,1,1,11,15,26,,,,1,1,,,,,,,28,80,108,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,1,2,
Tuition Exemption/Waiver,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Residency Status,Texas Resident,16,62,78,,,,1,2,3,,1,1,11,15,26,,,,1,1,,,,,,,28,81,109,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,1,2,
SCH Categories,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
6-8 SCH,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
9-11 SCH,,1,6,7,,,,,,,,,,,1,1,,,,,,,,,,,,1,7,8,
12-14 SCH,,11,39,50,,,,1,1,2,,,,7,7,14,,,,1,1,1,1,2,,,,20,49,69,
15-17 SCH,,3,15,18,,,,,1,1,,1,1,4,6,10,,,,,,,,,,,,7,23,30,
>17 SCH,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,
Ft/Pt:  TAMU Status,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Half-Time,,2,7,9,,,,,,,,,,,1,1,,,,,,,,,,,,2,8,10,
Full-Time,,14,54,68,,,,1,2,3,,1,1,11,14,25,,,,1,1,1,1,2,,,,27,73,100,
"Top 10% Texas High
School",No,11,55,66,,,,1,2,3,,1,1,11,13,24,,,,1,1,1,1,2,,,,24,73,97,
Yes,,5,7,12,,,,,,,,,,,2,2,,,,,,,,,,,,5,9,14,
First Generation,No,12,43,55,,,,1,,1,,,,4,9,13,,,,1,1,,,,,,,17,53,70,
Unknown,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,1,2,
Yes,,4,19,23,,,,,2,2,,1,1,7,6,13,,,,,,,,,,,,11,28,39,
"Dorm / Off-campus
students",Off-campus,14,62,76,,,,1,,1,,,,8,14,22,,,,1,1,1,1,2,,,,24,78,102,
Dorm (On-campus),,2,,2,,,,,2,2,,1,1,3,1,4,,,,,,,,,,,,5,4,9,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
