Fall 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Agriculture,AGEC,544,2,11,5,63,,6,82,2,715
,ALEC,988,9,6,91,135,1,19,11,2,"1,262"
,ANSC,756,7,9,12,163,,24,20,2,993
,BAEN,311,1,14,10,63,,9,56,1,465
,BCBP,228,2,68,25,67,,12,67,4,473
,CLAG,87,,1,8,21,,3,1,,121
,ENTO,137,2,10,10,81,,4,19,,263
,ESSM,211,1,5,6,43,,4,16,,286
,HRSC,160,1,3,,30,,3,17,,214
,NFSC,443,1,51,26,119,1,14,27,2,684
,PLPM,167,1,22,12,73,1,7,16,1,300
,POSC,128,1,1,6,33,,1,10,,180
,RPTS,392,1,11,24,46,2,9,32,1,518
,SCSC,174,1,3,3,21,,5,43,,250
,WFSC,382,1,4,10,117,2,6,19,3,544
,Subtotal,"5,108",31,219,248,"1,075",7,126,436,18,"7,268"
Architecture,ARCH,291,1,22,9,110,,7,79,4,523
,CLAR,31,,1,2,16,,1,,,51
,COSC,481,3,11,16,106,,10,44,,671
,LAUP,154,,7,13,73,1,7,110,1,366
,VIZA,218,1,19,4,48,,5,16,2,313
,Subtotal,"1,175",5,60,44,353,1,30,249,7,"1,924"
Business Admin,ACCT,635,,48,23,94,,11,27,4,842
,CLBA,"1,728",5,127,69,306,1,45,56,16,"2,353"
,FINC,524,1,34,8,86,,4,20,2,679
,INFO,380,2,36,15,77,,8,145,1,664
,MGMT,248,,16,11,43,,3,8,2,331
,MKTG,332,,7,9,37,2,13,13,2,415
,Subtotal,"3,847",8,268,135,643,3,84,269,27,"5,284"
Education,CLED,7,,,,,,1,,,8
,EAHR,432,3,32,89,165,,9,33,1,764
,EPSY,311,,9,24,117,,9,47,3,520
,HLKN,"1,934",3,67,142,437,2,61,47,2,"2,695"
,TLAC,"1,297",5,17,71,176,,23,58,4,"1,651"
,Subtotal,"3,981",11,125,326,895,2,103,185,10,"5,638"
