Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Engineering,AERO,,1,1,,2,,,,,,,2,
,BMEN,,1,,,1,,,,,,,1,
,CHEN,1,,,1,2,,,,,,,2,
,CSCE,,2,1,1,4,,,,,,,4,
,CVEN,,1,,1,2,,,1,1,,,3,
,ECEN,,,,1,1,,,,,,,1,
,ETID,,1,,1,2,,,,,,,2,
,ISEN,,1,,1,2,,,,,,,2,
,MEEN,1,,1,2,4,,,1,1,,,5,
,NUEN,,,,1,1,,,,,,,1,
,PETE,1,1,1,1,4,1,1,,,,,5,
,Subtotal,3,8,4,10,25,1,1,2,2,,,28,
G. Bush School of Govt,BUSH,,,,,,3,3,,,,,3,
,Subtotal,,,,,,3,3,,,,,3,
Geosciences,CLGE,,,,1,1,,,,,,,1,
,GEOG,,,1,1,2,,,,,,,2,
,OCNG,,,,,,,,1,1,,,1,
,Subtotal,,,1,2,3,,,1,1,,,4,
Liberal Arts,ANTH,,,,,,,,1,1,,,1,
,CLLA,,1,1,,2,,,,,,,2,
,COMM,,,1,1,2,,,,,,,2,
,ECON,,1,,,1,,,,,,,1,
,ENGL,,1,2,2,5,,,,,,,5,
,HIST,,2,,1,3,,,,,,,3,
,POLS,,,2,2,4,,,,,,,4,
,PSYC,1,2,,,3,,,,,,,3,
,SOCI,,,1,1,2,,,1,1,,,3,
,Subtotal,1,7,7,7,22,,,2,2,,,24,
Science,BIOL,3,1,1,,5,,,,,,,5,
,CHEM,1,,1,,2,,,1,1,,,3,
,PHYS,2,,,,2,,,1,1,,,3,
,Subtotal,6,1,2,,9,,,2,2,,,11,
Veterinary  Medicine,CLVM,1,,1,1,3,,,,,3,3,6,
,Subtotal,1,,1,1,3,,,,,3,3,6,
