Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergradu,,,ate,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,1,,,3,,4,,,1,1,,,5,
,ALEC,15,11,22,33,,81,2,2,8,8,,,91,
,ANSC,2,2,1,4,,9,2,2,1,1,,,12,
,BAEN,2,,1,3,,6,2,2,2,2,,,10,
,BCBP,10,4,4,5,,23,,,2,2,,,25,
,CLAG,4,1,3,,,8,,,,,,,8,
,ENTO,6,2,1,,,9,,,1,1,,,10,
,ESSM,,2,1,,,3,1,1,2,2,,,6,
,NFSC,1,3,8,10,,22,3,3,1,1,,,26,
,PLPM,1,,4,6,,11,,,1,1,,,12,
,POSC,,1,,3,,4,1,1,1,1,,,6,
,RPTS,1,2,10,5,,18,2,2,4,4,,,24,
,SCSC,1,1,,,,2,,,1,1,,,3,
,WFSC,,1,1,5,,7,1,1,2,2,,,10,
,Subtotal,44,30,56,77,,207,14,14,27,27,,,248,
"Architecture
Business Admin
Education",ARCH,4,2,,1,,7,2,2,,,,,9,
,CLAR,,,,2,,2,,,,,,,2,
,COSC,4,2,1,7,,14,2,2,,,,,16,
,LAUP,,2,1,2,,5,6,6,2,2,,,13,
,VIZA,,1,2,1,,4,,,,,,,4,
,Subtotal,8,7,4,13,,32,10,10,2,2,,,44,
,ACCT,,,5,13,,18,4,4,1,1,,,23,
,CLBA,15,22,7,5,,49,20,20,,,,,69,
,FINC,,,3,5,,8,,,,,,,8,
,INFO,,,6,6,,12,3,3,,,,,15,
,MGMT,,,3,4,,7,2,2,2,2,,,11,
,MKTG,,,3,4,,7,2,2,,,,,9,
,Subtotal,15,22,27,37,,101,31,31,3,3,,,135,
,EAHR,3,1,3,15,,22,14,14,53,53,,,89,
,EPSY,1,1,2,2,,6,4,4,14,14,,,24,
,HLKN,30,21,24,37,,112,19,19,11,11,,,142,
,TLAC,7,3,6,8,,24,7,7,40,40,,,71,
,Subtotal,41,26,35,62,,164,44,44,118,118,,,326,
