Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,
Engineering,AERO,,5,1,7,,13,9,9,33,33,55
,BMEN,,2,2,2,,6,5,5,29,29,40
,CHEN,,1,5,21,,27,26,26,80,80,133
,CSCE,3,5,13,17,,38,102,102,88,88,228
,CVEN,1,4,8,13,1,27,101,101,139,139,267
,ECEN,10,10,17,34,,71,167,167,280,280,518
,ETID,,4,2,12,,18,,,,,18
,ISEN,4,9,12,13,,38,126,126,42,42,206
,MEEN,1,6,2,7,,16,75,75,243,243,334
,NUEN,,2,6,6,,14,14,14,23,23,51
,PETE,1,10,15,26,,52,108,108,96,96,256
,Subtotal,20,58,83,158,1,320,733,733,"1,053","1,053","2,106"
G. Bush School of Govt,BUSH,,,,,,,36,36,,,36
,Subtotal,,,,,,,36,36,,,36
Geosciences,ATMO,1,,,,,1,2,2,19,19,22
,CLGE,2,,1,,,3,,,,,3
,GEOG,,,1,,,1,11,11,21,21,33
,GEPL,3,6,4,7,,20,16,16,31,31,67
,OCNG,,,,,,,2,2,25,25,27
,Subtotal,6,6,6,7,,25,31,31,96,96,152
Liberal Arts,ANTH,,,,,,,1,1,11,11,12
,CLLA,,,3,2,,5,,,,,5
,COMM,,1,,2,,3,,,5,5,8
,ECON,1,4,7,7,,19,110,110,60,60,189
,ENGL,,,1,,,1,1,1,19,19,21
,EURO,,,,1,,1,,,,,1
,HISP,,,,,,,,,9,9,9
,HIST,,,,2,,2,1,1,2,2,5
,POLS,1,1,1,1,,4,1,1,8,8,13
,PSYC,,2,1,2,,5,,,18,18,23
,SOCI,1,,3,1,,5,2,2,7,7,14
,Subtotal,3,8,16,18,,45,116,116,139,139,300
