Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Liberal Arts,ANTH,211,35,94,,340
,CLSS,17,,,,17
,COMM,761,6,41,,808
,ECON,712,128,74,,914
,ENGL,643,17,76,,736
,HISP,,,40,,40
,HIST,650,10,63,,723
,INTS,702,,,,702
,MODL,32,1,,,33
,MUSC,25,,,,25
,NRSC,,,21,,21
,PERF,,7,,,7
,PHIL,94,8,17,,119
,POLS,699,1,43,,743
,PSYC,"1,324",8,85,,"1,417"
,SOCI,460,11,81,,552
,SPAN,68,,,,68
,TCMS,187,,,,187
,THAR,43,,,,43
,USLA,17,,,,17
,WGST,18,,,,18
,Subtotal,"6,663",232,635,,"7,530"
