Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College Agriculture,,,,,,,,,,,
Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,"5,976",100.0%,589,100.0%,703,100.0%,,,"7,268",100.0%,
Female,"3,217",53.8%,305,51.8%,342,48.6%,,,"3,864",53.2%,
Male,"2,759",46.2%,284,48.2%,361,51.4%,,,"3,404",46.8%,
Ethnicity                  White Only (NEW),"4,415",73.9%,391,66.4%,302,43.0%,,,"5,108",70.3%,
American Indian Only (NEW),29,.5%,1,.2%,1,.1%,,,31,.4%,
Asian Only (NEW),190,3.2%,15,2.5%,14,2.0%,,,219,3.0%,
Black Only + 2 or more/1 Black (NEW),207,3.5%,14,2.4%,27,3.8%,,,248,3.4%,
Hispanic or Latino of any Race (NEW),955,16.0%,62,10.5%,58,8.3%,,,"1,075",14.8%,
Native Hawaii Only (New),7,.1%,,,,,,,7,.1%,
2 or More/Excluding Black (NEW),118,2.0%,7,1.2%,1,.1%,,,126,1.7%,
International,43,.7%,98,16.6%,295,42.0%,,,436,6.0%,
Unknown or Not Reported,12,.2%,1,.2%,5,.7%,,,18,.2%,
TAMU Age               <18,1,.0%,,,,,,,1,.0%,
Categories                18-21,"3,930",65.8%,8,1.4%,2,.3%,,,"3,940",54.2%,
22-25,"1,837",30.7%,319,54.2%,115,16.4%,,,"2,271",31.2%,
26-30,145,2.4%,157,26.7%,297,42.2%,,,599,8.2%,
31-39,45,.8%,65,11.0%,224,31.9%,,,334,4.6%,
40+,18,.3%,40,6.8%,65,9.2%,,,123,1.7%,
Enrollment Status  1st Time in College,704,11.8%,,,,,,,704,9.7%,
1st Time Graduate,,,160,27.2%,116,16.5%,,,276,3.8%,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,454,7.6%,,,,,,,454,6.2%,
Readmitted,136,2.3%,3,.5%,,,,,139,1.9%,
Continuing,"4,682",78.3%,426,72.3%,587,83.5%,,,"5,695",78.4%,
Tuition Status         Resident Tuition,"5,480",91.7%,378,64.2%,260,37.0%,,,"6,118",84.2%,
Non-Resident Tuition,120,2.0%,78,13.2%,76,10.8%,,,274,3.8%,
Tuition Exemption/Waiver,376,6.3%,133,22.6%,367,52.2%,,,876,12.1%,
Residency Status    Texas Resident,"5,703",95.4%,399,67.7%,277,39.4%,,,"6,379",87.8%,
"Non-TX, US Resident",226,3.8%,91,15.4%,127,18.1%,,,444,6.1%,
"Non-TX, Non-US Resident",47,.8%,99,16.8%,299,42.5%,,,445,6.1%,
SCH Categories       < 6 SCH,75,1.3%,145,24.6%,114,16.2%,,,334,4.6%,
6-8 SCH,156,2.6%,56,9.5%,21,3.0%,,,233,3.2%,
9-11 SCH,267,4.5%,347,58.9%,552,78.5%,,,"1,166",16.0%,
12-14 SCH,"3,207",53.7%,34,5.8%,14,2.0%,,,"3,255",44.8%,
15-17 SCH,"2,070",34.6%,7,1.2%,2,.3%,,,"2,079",28.6%,
>17 SCH,201,3.4%,,,,,,,201,2.8%,
Ft/Pt:  TAMU          Less Than Half Time,75,1.3%,124,21.1%,96,13.7%,,,295,4.1%,
Status                        Half-Time,424,7.1%,81,13.8%,40,5.7%,,,545,7.5%,
Full-Time,"5,477",91.6%,384,65.2%,567,80.7%,,,"6,428",88.4%,
Top 10% Texas        No,"3,847",64.4%,572,97.1%,678,96.4%,,,"5,097",70.1%,
High School             Yes,"2,129",35.6%,17,2.9%,25,3.6%,,,"2,171",29.9%,
First Generation     No,"3,915",65.5%,349,59.3%,348,49.5%,,,"4,612",63.5%,
Unknown,178,3.0%,80,13.6%,145,20.6%,,,403,5.5%,
Yes,"1,883",31.5%,160,27.2%,210,29.9%,,,"2,253",31.0%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 7,,,,,,,,,,,
