Fall 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Engineering,PETL,194,2,11,7,36,1,9,16,,276
,RHEL,13,,2,1,6,,,,,22
,RHEN,28,1,4,1,7,1,3,1,,46
,SENG,3,,1,1,,,,6,1,12
,USEN,1,,,,1,,,,,2
,WMHS,1,,,,,,,,,1
,Subtotal,"6,334",28,645,269,"1,628",14,202,"2,106",55,"11,281"
"G. Bush School of Govt
Geosciences",CAIA,31,,2,6,5,,1,,,45
,CHLS,16,1,,1,2,,1,,,21
,CNPM,17,,,4,6,,1,,,28
,INTA,112,,7,3,15,,6,12,,155
,PSAA,71,2,3,7,12,,2,24,1,122
,Subtotal,247,3,12,21,40,,11,36,1,371
,ATMO,35,,,1,2,,,21,,59
,ENGS,105,1,3,2,19,,2,3,,135
,ENST,77,1,2,3,20,,2,1,1,107
,GEOG,100,1,1,3,22,,3,19,,149
,GEOL,209,,10,5,33,,6,41,2,306
,GEOP,56,,10,1,11,,1,24,1,104
,GEOS,2,,,,1,,1,1,,5
,MARB,3,,,,,,,,,3
,METR,96,,3,6,28,,3,1,,137
,OCNG,42,1,1,1,4,,,26,1,76
,SPSG,5,,,,,,,,,5
,USGE,2,,,,,,,,,2
,WMHS,15,,,,1,,1,15,,32
,Subtotal,747,4,30,22,141,,19,152,5,"1,120"
