Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,NUEL,23,20,8,2,2,55,,,,,,,,55
,NUEN,,9,26,73,,108,,40,40,38,38,,,186
,OCEL,14,7,3,,,24,,,,,,,,24
,OCEN,1,4,14,37,1,57,,10,10,,,,,67
,PETE,1,40,96,173,3,313,,77,77,6,6,,,396
,PETL,106,59,23,5,1,194,,,,,,,,194
,RHEL,8,4,,1,,13,,,,,,,,13
,RHEN,,5,2,21,,28,,,,,,,,28
,SENG,,,,,,,,3,3,,,,,3
,USEN,,,,1,,1,,,,,,,,1
,WMHS,,,,,,,,,,1,1,,,1
,Subtotal,"1,115","1,036","1,183","2,248",25,"5,607",,426,426,301,301,,,"6,334"
G. Bush School of Govt,CAIA,,,,,,,,31,31,,,,,31
,CHLS,,,,,,,,16,16,,,,,16
,CNPM,,,,,,,,17,17,,,,,17
,INTA,,,,,,,,112,112,,,,,112
,PSAA,,,,,,,,71,71,,,,,71
,Subtotal,,,,,,,,247,247,,,,,247
Geosciences,ATMO,,,,,,,,20,20,15,15,,,35
,ENGS,21,19,16,49,,105,,,,,,,,105
,ENST,15,17,20,25,,77,,,,,,,,77
,GEOG,,10,26,33,,69,,16,16,15,15,,,100
,GEOL,37,31,34,50,2,154,,37,37,18,18,,,209
,GEOP,15,8,9,9,,41,,10,10,5,5,,,56
,GEOS,,,,,,,,2,2,,,,,2
,MARB,,,,,,,,1,1,2,2,,,3
,METR,23,25,23,24,1,96,,,,,,,,96
,OCNG,,,,,,,,11,11,31,31,,,42
,SPSG,,2,3,,,5,,,,,,,,5
,USGE,,,1,1,,2,,,,,,,,2
,WMHS,,,,,,,,11,11,4,4,,,15
,Subtotal,111,112,132,191,3,549,,108,108,90,90,,,747
