Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGBL,,1,,,1,,,,,,,1,
,AGCJ,,,1,1,2,,,,,,,2,
,AGEC,,,,1,1,,,,,,,1,
,AGRO,,,,1,1,,,,,,,1,
,ALED,,1,1,4,6,,,,,,,6,
,ANSC,,3,2,2,7,,,,,,,7,
,BAEN,,,,1,1,,,,,,,1,
,BESC,,,,1,1,,,,,,,1,
,BICH,,,,1,1,,,1,1,,,2,
,ENTO,,,,1,1,,,,,,,1,
,FIVL,,1,,,1,,,,,,,1,
,HORT,,,,1,1,,,,,,,1,
,NUSC,,1,,,1,,,,,,,1,
,POSC,,,1,,1,,,,,,,1,
,RENR,,,,1,1,,,,,,,1,
,RPTS,,,1,,1,,,,,,,1,
,USAL,,1,,,1,,,,,,,1,
,WFSC,,,,,,1,1,,,,,1,
,Subtotal,,8,6,15,29,1,1,1,1,,,31,
"Architecture
Business Admin",ARCH,,,,,,,,1,1,,,1,
,COSC,,,1,2,3,,,,,,,3,
,VIST,,,,1,1,,,,,,,1,
,Subtotal,,,1,3,4,,,1,1,,,5,
,BHNR,,,,1,1,,,,,,,1,
,BUAD,2,1,,,3,,,,,,,3,
,EMBA,,,,,,1,1,,,,,1,
,FINC,,,,1,1,,,,,,,1,
,INFO,,,,2,2,,,,,,,2,
,Subtotal,2,1,,4,7,1,1,,,,,8,
