Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Education,EDAD,,,,,,,,2,2,,,2
,EDCI,,,,,,2,2,1,1,,,3
,EDHL,,,1,,1,,,,,,,1
,EDIS,1,,,,1,,,,,,,1
,EDKI,,,1,,1,,,,,,,1
,HRDL,,,,1,1,,,,,,,1
,INST,,,,1,1,,,,,,,1
,SPMT,,,,1,1,,,,,,,1
,Subtotal,1,,2,3,6,2,2,3,3,,,11
"Engineering
G. Bush School of Govt",AERO,,1,1,,2,,,,,,,2
,BMEN,,1,,,1,,,,,,,1
,CECN,,,1,1,2,,,,,,,2
,CHEL,1,,,,1,,,,,,,1
,CHEN,,,,1,1,,,,,,,1
,CPSC,,1,,,1,,,,,,,1
,CPSL,,1,,,1,,,,,,,1
,CVEN,,,,,,,,1,1,,,1
,ELEL,,,,1,1,,,,,,,1
,IDIL,,1,,,1,,,,,,,1
,IDIS,,,,1,1,,,,,,,1
,INEL,,1,,,1,,,,,,,1
,INEN,,,,1,1,,,,,,,1
,MEEL,1,,,,1,,,,,,,1
,MEEN,,,1,2,3,,,1,1,,,4
,OCEL,,1,,,1,,,,,,,1
,OCEN,,,,1,1,,,,,,,1
,PETE,,,1,1,2,1,1,,,,,3
,PETL,1,1,,,2,,,,,,,2
,RHEN,,,,1,1,,,,,,,1
,Subtotal,3,8,4,10,25,1,1,2,2,,,28
,CHLS,,,,,,1,1,,,,,1
,PSAA,,,,,,2,2,,,,,2
,Subtotal,,,,,,3,3,,,,,3
