Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Geosciences,"ENGS ENST GEOG OCNG
Subtotal",,,,1,1,,,,,,,1,
,,,,,1,1,,,,,,,1,
,,,,1,,1,,,,,,,1,
,,,,,,,,,1,1,,,1,
,,,,1,2,3,,,1,1,,,4,
"Liberal Arts
Science
Veterinary Medicine
General Studies
University",ANTH,,,,,,,,1,1,,,1,
,COMM,,,1,1,2,,,,,,,2,
,ECON,,1,,,1,,,,,,,1,
,ENGL,,1,2,2,5,,,,,,,5,
,HIST,,2,,1,3,,,,,,,3,
,INTS,,1,1,,2,,,,,,,2,
,POLS,,,2,2,4,,,,,,,4,
,PSYC,1,2,,,3,,,,,,,3,
,SOCI,,,1,1,2,,,1,1,,,3,
,Subtotal,1,7,7,7,22,,,2,2,,,24,
,APHY,,,,,,,,1,1,,,1,
,BIOL,2,1,1,,4,,,,,,,4,
,BMCB,1,,,,1,,,,,,,1,
,CHEM,1,,1,,2,,,1,1,,,3,
,PHYS,2,,,,2,,,,,,,2,
,Subtotal,6,1,2,,9,,,2,2,,,11,
,BIMS,1,,1,1,3,,,,,,,3,
,VTMD,,,,,,,,,,3,3,3,
,Subtotal,1,,1,1,3,,,,,3,3,6,
,GEST,3,2,,,5,,,,,,,5,
,TEAM,6,,,,6,,,,,,,6,
,Subtotal,9,2,,,11,,,,,,,11,
,Total,23,27,24,45,119,8,8,12,12,3,3,142,
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,
