Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGBL,1,,1,,,2,,,,,,,2,
,AGBU,,,,,1,1,1,1,,,,,2,
,AGCJ,,,,1,,1,,,,,,,1,
,AGEC,,,1,2,,3,1,1,2,2,,,6,
,AGLS,1,,,,,1,,,,,,,1,
,AGRO,,,1,,,1,1,1,,,,,2,
,AGSC,1,,,,,1,,,,,,,1,
,AGSM,1,1,1,,,3,,,,,,,3,
,ALEC,,,,,,,1,1,1,1,,,2,
,ALED,,,,2,,2,,,,,,,2,
,ANSC,2,1,1,5,,9,,,,,,,9,
,BAEN,1,3,,5,1,10,1,1,,,,,11,
,BESC,1,5,6,7,,19,,,,,,,19,
,BICH,15,7,11,19,1,53,,,2,2,,,55,
,BIOT,,,,,,,3,3,,,,,3,
,CDEV,,,,1,,1,,,,,,,1,
,ECOR,,1,,,,1,,,,,,,1,
,ENTO,,,4,1,,5,1,1,1,1,,,7,
,FIVS,,,,3,,3,,,,,,,3,
,FORS,,,,,,,1,1,,,,,1,
,FSTC,2,1,2,4,1,10,1,1,1,1,,,12,
,GENE,1,3,5,3,,12,,,2,2,,,14,
,HORT,1,,1,,,2,,,1,1,,,3,
,MEPS,,,,,,,,,1,1,,,1,
,NUSC,5,4,11,17,,37,,,,,,,37,
,NUTR,,,,,,,2,2,,,,,2,
,PLPA,,,,,,,,,1,1,,,1,
,RENR,1,,,,,1,,,,,,,1,
,RLEM,,,,,,,,,1,1,,,1,
,RPTS,,2,1,5,,8,1,1,1,1,,,10,
,SPSA,,,,1,,1,,,,,,,1,
,WFSC,,1,2,,,3,1,1,,,,,4,
,Subtotal,33,29,48,76,4,190,15,15,14,14,,,219,
