Texas A&M University,,,,,,,,,,,,,,,,,
Data and Research Services,,,,,,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Spring 2012,,,,,,,,,,,,,,,,,
Student Head Count by Level (College Station Campus) Change by Level from Previous Spring,,,,,,,,,,,,,,,,,
Enrollment Profile – Spring 2012,,,,,,,,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,,,,,,,
,,Undergraduate,,,Masters,,,PhD,,,Professional,,,Total,,,
,,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,
College,Total,"37,155       36,952",,0.5%,"4,957          5,005",,-1.0%,"3,986           3,951",,0.9%,520             514,,1.2%,"46,618       46,422",,0.4%,
,Agriculture,"5,550            5,265",,5.4%,651                738,,-11.8%,622                615,,1.1%,,,,"6,823            6,618",,3.1%,
,Architecture,"1,344            1,330",,1.1%,341                331,,3.0%,107                104,,2.9%,,,,"1,792             1,765",,1.5%,
,Business Admin,"4,058            3,979",,2.0%,699               650,,7.5%,68                  61,,11.5%,,,,"4,825            4,690",,2.9%,
,Education,"3,777            3,666",,3.0%,609               606,,0.5%,650                696,,-6.6%,,,,"5,036            4,968",,1.4%,
,Engineering,"7,750             7,615",,1.8%,"1,436             1,497",,-4.1%,"1,213             1,218",,-0.4%,,,,"10,399          10,330",,0.7%,
,G. Bush School of Govt,,,,343                 311,,10.3%,,,,,,,343                 311,,10.3%,
,Geosciences,648                651,,-0.5%,177                 177,,0.0%,157                 161,,-2.5%,,,,982               989,,-0.7%,
,Liberal Arts,"6,265            6,286",,-0.3%,263                255,,3.1%,534                501,,6.6%,,,,"7,062            7,042",,0.3%,
,Science,"2,201             2,144",,2.7%,312                341,,-8.5%,556                522,,6.5%,,,,"3,069            3,007",,2.1%,
,Veterinary Medicine,"1,518             1,469",,3.3%,77                  65,,18.5%,79                  73,,8.2%,520               514,,1.2%,"2,194             2,121",,3.4%,
,General Studies,3982             4492,,-11.4%,,,,,,,,,,3982             4492,,-11.4%,
,Other - Special Populations,62                  55,,12.7%,49                  34,,44.1%,,,,,,,111                  89,,24.7%,
Gender,Female,"17,677           17,596",,0.5%,"2,104            2,072",,1.5%,"1,562             1,567",,-0.3%,397              384,,3.4%,"21,740           21,619",,0.6%,
,Male,"19,478          19,356",,0.6%,"2,853            2,933",,-2.7%,"2,424            2,384",,1.7%,123              130,,-5.4%,"24,878         24,803",,0.3%,
Ethnicity,White Only (NEW),"26,332          26,663",,-1.2%,"2,576            2,608",,-1.2%,"1,367             1,384",,-1.2%,442              437,,1.1%,"30,717          31,092",,-1.2%,
,American Indian Only (NEW),122                137,,-10.9%,11                   11,,0.0%,10                   11,,-9.1%,1                   1,,0.0%,144                160,,-10.0%,
