Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,1,1,,,,,1,
,AGBL,3,4,4,,,11,,,,,,,,11,
,AGBU,,,2,9,,11,,,,,,,,11,
,AGCJ,1,7,4,10,,22,,,,,,,,22,
,AGEC,,2,11,22,,35,,1,1,1,1,,,37,
,AGLS,,3,8,2,,13,,,,,,,,13,
,AGRO,2,3,3,10,,18,,,,,,,,18,
,AGSC,1,3,3,6,,13,,,,,,,,13,
,AGSM,,4,8,9,,21,,,,,,,,21,
,ALEC,,,,,,,1,2,3,4,4,,,7,
,ALED,4,11,12,27,,54,,,,,,,,54,
,ANBR,,,,,,,,,,,,,,,
,ANSC,23,34,27,37,1,122,,2,2,2,2,,,126,
,BAEN,5,12,8,7,,32,,4,4,1,1,,,37,
,BESC,1,4,17,38,,60,,,,,,,,60,
,BICH,7,6,5,11,1,30,,1,1,5,5,,,36,
,BIOT,,,,,,,,,,,,,,,
,CDEV,1,2,1,2,,6,,,,,,,,6,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,4,,4,,,,,,,,4,
,ENST,1,2,1,1,,5,,,,,,,,5,
,ENTO,1,5,3,13,,22,,5,5,4,4,,,31,
,FISC,,,,,,,,1,1,,,,,1,
,FIVL,7,4,5,,,16,,,,,,,,16,
,FIVS,,,1,5,,6,,,,,,,,6,
,FLOR,,,,1,,1,,,,,,,,1,
,FORS,,,1,,,1,,1,1,,,,,2,
,FSTC,1,3,3,19,,26,,1,1,1,1,,,28,
,GENE,2,4,2,3,,11,,1,1,3,3,,,15,
,HORT,2,3,4,16,,25,,,,2,2,,,27,
,MEPS,,,,,,,,1,1,1,1,,,2,
,NRDV,,,,,,,,3,3,,,,,3,
,NUSC,8,20,19,30,,77,,,,,,,,77,
,NUTR,,,,,,,,1,1,,,,,1,
,PLBR,,,,,,,,1,1,1,1,,,2,
,PLPA,,,,,,,,2,2,6,6,,,8,
,POSC,1,3,3,15,,22,,5,5,,,,,27,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,3,3,,,,,3,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,4,2,,6,,,,,,,,6,
,RLEM,,1,3,1,,5,,2,2,9,9,,,16,
,RPTS,1,4,13,21,1,40,,2,2,,,,,42,
,SOSC,,,,,,,,,,1,1,,,1,
