Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,"USLA WGST
Subtotal",,,1,1,,2,,,,,,,,2,
,,,,,7,,7,,,,,,,,7,
,,102,232,384,507,2,"1,227",,19,19,92,92,,,"1,338",
"Science
Veterinary Medicine
General Studies
Other - Special Populations
University",APHY,,,,,,,,,,3,3,,,3,
,APMS,6,4,5,7,,22,,,,,,,,22,
,BIOL,63,57,50,90,,260,,2,2,,,,,262,
,BMCB,4,2,8,10,,24,,,,,,,,24,
,BOTN,,,,,,,,,,1,1,,,1,
,CHEM,22,11,17,16,,66,,1,1,12,12,,,79,
,GENE,,,,,,,,,,,,,,,
,MATH,18,13,14,12,,57,2,1,3,1,1,,,61,
,MBIO,4,5,3,7,,19,,,,1,1,,,20,
,MSEN,,,,,,,,,,,,,,,
,PHYS,11,3,2,7,,23,,4,4,8,8,,,35,
,STAT,,,,,,,3,6,9,1,1,,,10,
,USSC,,,2,,,2,,,,,,,,2,
,ZOOL,3,2,4,4,,13,,,,,,,,13,
,Subtotal,131,97,105,153,,486,5,14,19,27,27,,,532,
,BIMS,82,93,48,81,,304,,5,5,1,1,,,310,
,BIOT,,,,,,,,,,,,,,,
,EPID,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,1,1,1,1,,,2,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,47,47,47,
,VTMI,,,,,,,,1,1,,,,,1,
,Subtotal,82,93,48,81,,304,,7,7,2,2,47,47,360,
,GEST,301,306,46,1,,654,,,,,,,,654,
,TEAM,93,25,4,,,122,,,,,,,,122,
,Subtotal,394,331,50,1,,776,,,,,,,,776,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,1,,1,,,,,1,
,PHLT,,,,,,,1,,1,,,,,1,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,2,,2,,,,,2,
,Total,"1,147","1,439","1,440","2,211",15,"6,252",26,392,418,350,350,47,47,"7,067",
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,
