Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERL,,,,,,,,,,,,,,
,AERO,,,,,,,,,,,,,,
,BIOT,,,,,,,,,,,,,,
,BMEL,,,,,,,,,,,,,,
,BMEN,,,,,,,,,,,,,,
,CECL,,1,,,,1,,,,,,,,1
,CECN,,,,,,,,,,,,,,
,CEEL,,,,,,,,,,,,,,
,CEEN,,,,1,,1,,,,,,,,1
,CHEL,,,,,,,,,,,,,,
,CHEN,,1,,,,1,,,,,,,,1
,CPSC,,,,,,,,,,1,1,,,1
,CPSL,,,,,,,,,,,,,,
,CVEL,,,,,,,,,,,,,,
,CVEN,,,,1,,1,,,,,,,,1
,ELEL,,,,,,,,,,,,,,
,ELEN,,,,2,,2,,,,,,,,2
,ENGR,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,
,IDIS,,,,,,,,,,,,,,
,INEL,,1,,,,1,,,,,,,,1
,INEN,,,,,,,,,,,,,,
,ITDE,,,,,,,,,,,,,,
,MEEL,,,,,,,,,,,,,,
,MEEN,,,1,1,,2,,,,,,,,2
,MSEN,,,,,,,,,,,,,,
,NUEL,,,,,,,,,,,,,,
,NUEN,,,,,,,,,,,,,,
,OCEL,,,,,,,,,,,,,,
,OCEN,,,2,,,2,,,,,,,,2
,PETE,,,,,,,,,,,,,,
,PETL,,,,,,,,,,,,,,
,RHEL,,,,,,,,,,,,,,
,RHEN,,,,1,,1,,,,,,,,1
,SENG,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,
,Subtotal,,3,3,6,,12,,,,1,1,,,13
