Ethnicity International,,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,1,1,,,1,
,ADEV,,,,,,,,1,1,,,,,1,
,AGBL,,,,1,,1,,,,,,,,1,
,AGBU,,,,2,,2,,23,23,,,,,25,
,AGCJ,,,1,3,,4,,,,,,,,4,
,AGEC,,1,1,1,,3,,15,15,49,49,,,67,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,1,,,,1,,2,2,3,3,,,6,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,2,,1,,3,,,,,,,,3,
,ALEC,,,,,,,,1,1,3,3,,,4,
,ALED,,,,2,,2,,,,,,,,2,
,ANBR,,,,,,,,,,2,2,,,2,
,ANSC,1,,,1,,2,,2,2,1,1,,,5,
,BAEN,1,,2,1,,4,,14,14,34,34,,,52,
,BESC,,,1,2,,3,,,,,,,,3,
,BICH,,1,2,4,,7,,17,17,32,32,,,56,
,BIOT,,,,,,,,5,5,,,,,5,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,,,,,1,1,10,10,,,11,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,4,4,4,4,,,8,
,FSTC,,1,,,,1,,9,9,7,7,,,17,
,GENE,,1,,2,,3,,3,3,4,4,,,10,
,HORT,,,,,,,,3,3,9,9,,,12,
,MEPS,,,,,,,,4,4,12,12,,,16,
,NRDV,,,,,,,,,,,,,,,
,NUSC,,1,1,2,,4,,,,,,,,4,
,NUTR,,,,,,,,4,4,12,12,,,16,
,PLBR,,,,,,,,3,3,16,16,,,19,
,PLPA,,,,,,,,3,3,9,9,,,12,
,POSC,,,1,,,1,,1,1,6,6,,,8,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,1,1,2,2,,,3,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,2,2,6,6,,,8,
,RPTS,,,,2,,2,,8,8,19,19,,,29,
,SOSC,,,,,,,,1,1,3,3,,,4,
