Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"3,982",100.0%,,,,,,,"3,982",100.0%,
,,"1,825",45.8%,,,,,,,"1,825",45.8%,
,,"2,157",54.2%,,,,,,,"2,157",54.2%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),"2,684",67.4%,,,,,,,"2,684",67.4%,
,American Indian Only (NEW),8,.2%,,,,,,,8,.2%,
,Asian Only (NEW),200,5.0%,,,,,,,200,5.0%,
,Black Only + 2 or more/1 Black (NEW),176,4.4%,,,,,,,176,4.4%,
,Hispanic or Latino of any Race (NEW),776,19.5%,,,,,,,776,19.5%,
,Native Hawaii Only (New),7,.2%,,,,,,,7,.2%,
,2 or More/Excluding Black (NEW),87,2.2%,,,,,,,87,2.2%,
,International,36,.9%,,,,,,,36,.9%,
,Unknown or Not Reported,8,.2%,,,,,,,8,.2%,
,<18,3,.1%,,,,,,,3,.1%,
,18-21,"3,851",96.7%,,,,,,,"3,851",96.7%,
,22-25,121,3.0%,,,,,,,121,3.0%,
,26-30,4,.1%,,,,,,,4,.1%,
,31-39,2,.1%,,,,,,,2,.1%,
,40+,1,.0%,,,,,,,1,.0%,
,1st Time in College,11,.3%,,,,,,,11,.3%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,22,.6%,,,,,,,22,.6%,
,Readmitted,31,.8%,,,,,,,31,.8%,
,Continuing,"3,918",98.4%,,,,,,,"3,918",98.4%,
,Resident Tuition,"3,706",93.1%,,,,,,,"3,706",93.1%,
,Non-Resident Tuition,100,2.5%,,,,,,,100,2.5%,
,Tuition Exemption/Waiver,176,4.4%,,,,,,,176,4.4%,
,Texas Resident,"3,834",96.3%,,,,,,,"3,834",96.3%,
,"Non-TX, US Resident",110,2.8%,,,,,,,110,2.8%,
,"Non-TX, Non-US Resident",38,1.0%,,,,,,,38,1.0%,
,< 6 SCH,703,17.7%,,,,,,,703,17.7%,
,6-8 SCH,154,3.9%,,,,,,,154,3.9%,
,9-11 SCH,70,1.8%,,,,,,,70,1.8%,
,12-14 SCH,"1,956",49.1%,,,,,,,"1,956",49.1%,
,15-17 SCH,"1,058",26.6%,,,,,,,"1,058",26.6%,
,>17 SCH,41,1.0%,,,,,,,41,1.0%,
,Less Than Half Time,703,17.7%,,,,,,,703,17.7%,
,Half-Time,224,5.6%,,,,,,,224,5.6%,
,Full-Time,"3,055",76.7%,,,,,,,"3,055",76.7%,
,No,"2,835",71.2%,,,,,,,"2,835",71.2%,
,Yes,"1,147",28.8%,,,,,,,"1,147",28.8%,
,No,"2,730",68.6%,,,,,,,"2,730",68.6%,
,Unknown,139,3.5%,,,,,,,139,3.5%,
,Yes,"1,113",28.0%,,,,,,,"1,113",28.0%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
