Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,1,1,,,2,,,,1,1,,,3,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,1,1,5,3,,10,,,,5,5,,,15,
"Architecture
Business Admin",ARCH,,,,,,,,,,2,2,,,2,
,COMG,,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,,
,COSL,,,,,,,,,,,,,,,
,ENDL,,,,,,,,,,,,,,,
,ENDS,,,,,,,,,,,,,,,
,LAND,,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,1,1,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,1,1,,,,,1,
,URSC,,,,,,,,,,,,,,,
,USAR,,,,,,,,,,,,,,,
,VISL,,1,,,,1,,,,,,,,1,
,VIST,,,,,,,,1,1,,,,,1,
,Subtotal,,1,,,,1,,3,3,2,2,,,6,
,ACCT,,,1,,,1,,1,1,1,1,,,3,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,,,,,,,,,,,,
,BUAD,,3,,,,3,,1,1,,,,,4,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,4,4,,,,,4,
,FINC,,,,1,,1,,,,1,1,,,2,
,INFO,,,,,,,,,,,,,,,
,MGMT,,,,,,,,2,2,3,3,,,5,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,MLER,,,,,,,,,,,,,,,
,USBU,,,,,,,,,,,,,,,
,Subtotal,,3,1,1,,5,,8,8,5,5,,,18,
