Spring 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,26,37,63,2,2,4,1,3,4,5,12,17,1,3,4,1,10,11,36,67,103,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,1,1,,,,,,,,,,,,,,,,,1,1,
,18-21,26,31,57,2,2,4,1,3,4,5,11,16,1,3,4,1,10,11,36,60,96,
,22-25,,4,4,,,,,,,,1,1,,,,,,,,5,5,
,26-30,,1,1,,,,,,,,,,,,,,,,,1,1,
,Freshman,23,35,58,2,2,4,1,3,4,5,10,15,1,3,4,1,9,10,33,62,95,
,Sophomore,3,2,5,,,,,,,,1,1,,,,,1,1,3,4,7,
,Junior,,,,,,,,,,,1,1,,,,,,,,1,1,
,Resident Tuition,24,31,55,2,2,4,1,3,4,4,10,14,1,3,4,,1,1,32,50,82,
,Non-Resident  Tuition,1,2,3,,,,,,,,,,,,,1,9,10,2,11,13,
,Tuition,1,4,5,,,,,,,1,2,3,,,,,,,2,6,8,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,24,34,58,2,2,4,1,3,4,5,12,17,1,3,4,,1,1,33,55,88,
,"Non-TX, US Resident",2,3,5,,,,,,,,,,,,,,,,2,3,5,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,1,9,10,1,9,10,
,Resident,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
,9-11 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
,12-14 SCH,19,22,41,,2,2,1,3,4,4,9,13,1,2,3,,8,8,25,46,71,
,15-17 SCH,7,13,20,2,,2,,,,1,3,4,,1,1,1,2,3,11,19,30,
,Half-Time,,2,2,,,,,,,,,,,,,,,,,2,2,
,Full-Time,26,35,61,2,2,4,1,3,4,5,12,17,1,3,4,1,10,11,36,65,101,
,No,13,33,46,,1,1,1,2,3,2,5,7,1,2,3,1,10,11,18,53,71,
,Yes,13,4,17,2,1,3,,1,1,3,7,10,,1,1,,,,18,14,32,
,No,17,28,45,2,1,3,1,,1,1,8,9,1,2,3,,,,22,39,61,
,Unknown,,2,2,,,,,,,,,,,,,1,10,11,1,12,13,
,Yes,9,7,16,,1,1,,3,3,4,4,8,,1,1,,,,13,16,29,
,1.00,15,19,34,,1,1,1,2,3,2,6,8,1,,1,,5,5,19,33,52,
,2.00,11,18,29,2,1,3,,1,1,3,6,9,,3,3,1,5,6,17,34,51,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,
