Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,2,3,5,,,,,,,,,2,,2,,,,,,,,,,,,4,3,7,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,22-25,1,1,2,,,,,,,,,2,,2,,,,,,,,,,,,3,1,4,
,26-30,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,
,Sophomore,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Junior,2,1,3,,,,,,,,,1,,1,,,,,,,,,,,,3,1,4,
,Senior,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,2,2,4,,,,,,,,,2,,2,,,,,,,,,,,,4,2,6,
,Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,2,2,4,,,,,,,,,2,,2,,,,,,,,,,,,4,2,6,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,2,,2,
,15-17 SCH,1,2,3,,,,,,,,,1,,1,,,,,,,,,,,,2,2,4,
,>17 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,2,3,5,,,,,,,,,2,,2,,,,,,,,,,,,4,3,7,
,No,2,3,5,,,,,,,,,1,,1,,,,,,,,,,,,3,3,6,
,Yes,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,
,No,2,2,4,,,,,,,,,,,,,,,,,,,,,,,2,2,4,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,1,1,,,,,,,,,2,,2,,,,,,,,,,,,2,1,3,
,1.00,1,3,4,,,,,,,,,1,,1,,,,,,,,,,,,2,3,5,
,2.00,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,2,,2,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
