Demographic Summary by Classification,,,,,
First-Time In College Students (College Station Campus) Top 10% Texas High School Students,,,,,
"Prepared by DARS, 17 Feb 12",,,,,
Spring 2012,,Freshman,Sophomore,Grand Total,
Headcount Total,,30,2,32,
"Gender Ethnicity
TAMU Age
Categories
College
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
First Generation",Female,17,1,18,
,Male,13,1,14,
,White Only (NEW),16,1,17,
,Asian Only (NEW),3,,3,
,Black Only + 2 or more/1 Black (NEW),1,,1,
,Hispanic or Latino of any Race (NEW),9,1,10,
,2 or More/Excluding Black (NEW),1,,1,
,18-21,29,2,31,
,22-25,1,,1,
,Agriculture,2,1,3,
,Architecture,1,,1,
,Business Admin,1,,1,
,Education,3,,3,
,Engineering,13,,13,
,Liberal Arts,2,,2,
,Science,5,1,6,
,Veterinary Medicine,1,,1,
,General Studies,2,,2,
,1st Time in College,30,2,32,
,Resident Tuition,28,1,29,
,Tuition Exemption/Waiver,2,1,3,
,Texas Resident,30,2,32,
,12-14 SCH,21,2,23,
,15-17 SCH,9,,9,
,Full-Time,30,2,32,
,No,20,2,22,
,Yes,10,,10,
