Spring 2012,,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V3: 3rd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count,Total,132,131,127,130,520,
"Gender Ethnicity
TAMU Age
Categories
College
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status",Female,105,98,100,94,397,
,Male,27,33,27,36,123,
,White Only (NEW),110,117,101,114,442,
,American Indian Only (NEW),1,,,,1,
,Asian Only (NEW),7,2,2,5,16,
,Black Only + 2 or more/1 Black,2,,2,1,5,
,(NEW),,,,,,
,Hispanic or Latino of any Race,10,7,20,10,47,
,(NEW),,,,,,
,2 or More/Excluding Black (NEW),1,,1,,2,
,Unknown or Not Reported,1,5,1,,7,
,18-21,1,,,,1,
,22-25,95,83,54,23,255,
,26-30,31,37,62,96,226,
,31-39,5,9,11,8,33,
,40+,,2,,3,5,
,Veterinary Medicine,132,131,127,130,520,
,Continuing,132,131,127,130,520,
,Resident Tuition,126,119,117,121,483,
,Non-Resident Tuition,1,1,3,1,6,
,Tuition  Exemption/Waiver,5,11,7,8,31,
,Texas Resident,128,123,119,121,491,
,"Non-TX, US Resident",4,8,8,9,29,
,6-8 SCH,,,1,,1,
,15-17 SCH,,,,2,2,
,>17 SCH,132,131,126,128,517,
,Half-Time,,,1,,1,
,Full-Time,132,131,126,130,519,
"Prepared by DARS, 19 Jun 12",,,,,,,
