Demographic Summary for Students Enrolled in Out of State Distance Education Programs (Not included in University Total Enrollment),,,,,,,,,,,
"Prepared by OISP, 17 Feb 12",,,,,,,,,,,
Spring 2012,,Student Level,,,,,,,,Grand Total,
,,G7,G8,U0,U1,U2,U3,U4,U5,,
Head Count Total,,65,25,1,525,375,314,564,10,"1,879",
"Gender Ethnicity
Academic Major
Enrollment Status
SCH
Categories
TAMU Age
Categories
ft/pt: TAMU Status",Female,34,17,1,195,142,129,233,4,755,
,Male,31,8,,330,233,185,331,6,"1,124",
,White Only (NEW),55,10,,378,280,247,431,6,"1,407",
,American Indian Only (NEW),1,,,3,2,1,7,,14,
,Asian Only (NEW),,,,13,7,3,7,,30,
,Black Only + 2 or more/1 Black (NEW),,1,,14,10,5,15,1,46,
,Hispanic or Latino of any Race (NEW),4,2,1,95,53,46,81,3,285,
,Native Hawaii Only (New),1,,,,1,1,3,,6,
,2 or More/Excluding Black (NEW),2,1,,18,17,11,9,,58,
,International,2,11,,4,3,,6,,26,
,Unknown or Not Reported,,,,,2,,5,,7,
,ANTH,2,1,,,,,,,3,
,BIMS,,,,,,,1,,1,
,ENGS,,,,,,,1,,1,
,GACD,,,,176,41,6,2,2,227,
,MAAL,9,,,,,,,,9,
,MARA,,,,53,62,77,106,,298,
,MARB,13,13,1,139,116,86,158,2,528,
,MARF,,,,5,5,4,5,,19,
,MARM,32,,,,,,,,32,
,MARR,,,,46,33,30,55,1,165,
,MARS,,,,10,11,9,20,,50,
,MART,,,,42,52,41,90,5,230,
,MASE,,,,3,20,18,68,,109,
,MASL,,,,38,14,7,2,,61,
,MAST,,,,5,11,18,25,,59,
,OCNG,2,4,,,,,,,6,
,OCRE,,,,7,10,14,24,,55,
,PHIL,,,,,,,1,,1,
,PHYS,,1,,,,,,,1,
,PSAA,1,,,,,,,,1,
,RLEM,,1,,,,,,,1,
,USAL,,,,,,,1,,1,
,USBU,,,,,,,1,,1,
,USGA,,,,1,,1,3,,5,
,WFSC,6,5,,,,3,1,,15,
,Continuing,58,23,1,506,340,297,553,8,"1,786",
,1st Time In College,,,,7,1,,,,8,
,1st Time Graduate,6,2,,,,,,,8,
,Readmitted,1,,,3,7,2,3,1,17,
,1st Time Transfer,,,,9,27,15,8,1,60,
,< 6 SCH,23,7,,1,1,7,18,2,59,
,6-8 SCH,7,,1,5,11,11,39,,74,
,9-11 SCH,29,18,,3,16,10,47,1,124,
,12-14 SCH,5,,,247,201,131,223,5,812,
,15-17 SCH,1,,,238,137,126,176,1,679,
,>17 SCH,,,,31,9,29,61,1,131,
,18-21,,,,509,299,126,37,,971,
,22-25,20,2,,13,49,143,390,4,621,
,26-30,26,11,1,,16,24,90,3,171,
,31-39,13,10,,1,6,14,29,2,75,
,40+,6,2,,2,5,7,18,1,41,
,Full-Time,35,18,,516,348,287,459,7,"1,670",
,Half-Time,12,2,1,8,26,20,87,1,157,
,Less Than Half-Time,18,5,,1,1,7,18,2,52,
