Spring 2012,,Tuition Status,,,,,,,,
,,Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
"Agriculture                             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident",,"5,768",100.0%,7,2.9%,199,24.4%,"5,974",87.6%,
,,0,.0%,107,44.6%,300,36.8%,407,6.0%,
,,0,.0%,126,52.5%,316,38.8%,442,6.5%,
"Architecture
Business Admin
Education
Engineering
G. Bush School of Govt
Geosciences
Liberal Arts
Science
Veterinary Medicine
General Studies
Other - Special Populations
Total",Texas Resident,"1,458",100.0%,3,3.1%,55,23.2%,"1,516",84.6%,
,"Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident",0,.0%,27,27.8%,44,18.6%,71,4.0%,
,,0,.0%,67,69.1%,138,58.2%,205,11.4%,
,,"4,357",100.0%,3,2.4%,133,38.8%,"4,493",93.1%,
,,0,.0%,47,37.6%,95,27.7%,142,2.9%,
,,0,.0%,75,60.0%,115,33.5%,190,3.9%,
,,"4,564",100.0%,14,9.2%,132,41.3%,"4,710",93.5%,
,,0,.0%,65,42.8%,87,27.2%,152,3.0%,
,,0,.0%,73,48.0%,101,31.6%,174,3.5%,
,,"7,567",100.0%,15,1.6%,254,13.3%,"7,836",75.4%,
,,0,.0%,141,15.4%,431,22.5%,572,5.5%,
,,0,.0%,760,83.0%,"1,231",64.2%,"1,991",19.1%,
,,211,100.0%,2,25.0%,29,23.4%,242,70.6%,
,,0,.0%,4,50.0%,71,57.3%,75,21.9%,
,,0,.0%,2,25.0%,24,19.4%,26,7.6%,
,,705,100.0%,2,2.6%,32,15.9%,739,75.3%,
,,0,.0%,21,27.6%,87,43.3%,108,11.0%,
,,0,.0%,53,69.7%,82,40.8%,135,13.7%,
,,"6,111",100.0%,9,3.6%,236,33.7%,"6,356",90.0%,
,,0,.0%,127,50.8%,334,47.6%,461,6.5%,
,,0,.0%,114,45.6%,131,18.7%,245,3.5%,
,,"2,285",100.0%,5,5.6%,100,14.4%,"2,390",77.9%,
,,0,.0%,28,31.1%,236,34.0%,264,8.6%,
,,0,.0%,57,63.3%,358,51.6%,415,13.5%,
,,"1,982",100.0%,1,3.6%,78,42.4%,"2,061",93.9%,
,,0,.0%,19,67.9%,65,35.3%,84,3.8%,
,,0,.0%,8,28.6%,41,22.3%,49,2.2%,
,,"3,706",100.0%,2,2.0%,126,71.6%,"3,834",96.3%,
,,0,.0%,66,66.0%,44,25.0%,110,2.8%,
,,0,.0%,32,32.0%,6,3.4%,38,1.0%,
,,24,100.0%,2,2.5%,0,.0%,26,23.4%,
,,0,.0%,3,3.8%,3,42.9%,6,5.4%,
,,0,.0%,75,93.8%,4,57.1%,79,71.2%,
,,"38,738",100.0%,65,3.0%,"1,374",24.0%,"40,177",86.2%,
,,0,.0%,655,30.3%,"1,797",31.4%,"2,452",5.3%,
,,0,.0%,"1,442",66.7%,"2,547",44.5%,"3,989",8.6%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,
