Spring 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Agriculture,AGEC,569,2,7,7,59,,12,94,2,752
,ALEC,939,8,5,74,113,,17,11,1,"1,168"
,ANSC,713,7,9,7,129,1,17,13,2,898
,BAEN,282,1,14,10,58,,10,58,1,434
,BCBP,214,2,66,25,51,,9,64,4,435
,CLAG,66,,1,10,13,,2,,,92
,ENTO,121,2,7,6,53,,4,12,,205
,ESSM,198,2,4,5,36,,6,17,1,269
,HRSC,168,3,1,,28,,2,15,,217
,NFSC,405,,44,17,105,1,13,28,,613
,PLPM,144,1,15,11,73,1,7,15,1,268
,POSC,125,2,1,7,28,,2,15,,180
,RPTS,397,1,9,18,48,1,7,29,,510
,SCSC,189,1,6,3,23,,3,45,,270
,WFSC,359,1,3,9,111,,4,22,3,512
,Subtotal,"4,889",33,192,209,928,4,115,438,15,"6,823"
Architecture,ARCH,282,2,24,6,103,,7,69,2,495
,CLAR,30,,1,1,12,,1,,,45
,COSC,478,4,4,9,88,,9,25,,617
,LAUP,179,,8,10,61,1,6,95,2,362
,VIZA,195,1,13,3,41,,3,15,2,273
,Subtotal,"1,164",7,50,29,305,1,26,204,6,"1,792"
Business,ACCT,628,,51,23,69,,8,24,3,806
Admin,CLBA,"1,460",1,106,59,236,2,35,31,8,"1,938"
,,,,,,,,,,,
,FINC,571,2,32,12,78,,7,17,2,721
,INFO,362,1,39,16,74,1,7,98,,598
,MGMT,249,1,16,13,29,,3,8,5,324
,MKTG,353,,10,10,43,1,8,13,,438
,Subtotal,"3,623",5,254,133,529,4,68,191,18,"4,825"
Education,CLED,9,1,,,1,,,,,11
,EAHR,447,3,29,82,165,,6,24,1,757
,EPSY,290,,11,23,119,,7,48,2,500
,HLKN,"1,538",6,55,95,332,1,44,40,,"2,111"
,TLAC,"1,310",3,13,78,162,,24,62,5,"1,657"
,Subtotal,"3,594",13,108,278,779,1,81,174,8,"5,036"
