Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,2,1,3,4,,10,,2,2,,,,,12
,ALEC,,3,7,6,,16,,1,1,,,,,17
,ANSC,2,4,5,5,,16,,1,1,,,,,17
,BAEN,,4,5,1,,10,,,,,,,,10
,BCBP,1,1,1,4,,7,,2,2,,,,,9
,CLAG,,1,,1,,2,,,,,,,,2
,ENTO,,1,1,2,,4,,,,,,,,4
,ESSM,,1,1,3,,5,,1,1,,,,,6
,HRSC,,,1,1,,2,,,,,,,,2
,NFSC,2,2,4,5,,13,,,,,,,,13
,PLPM,1,,1,4,,6,,1,1,,,,,7
,POSC,,,,1,,1,,1,1,,,,,2
,RPTS,,4,2,1,,7,,,,,,,,7
,SCSC,,,3,,,3,,,,,,,,3
,WFSC,,,2,2,,4,,,,,,,,4
,Subtotal,8,22,36,40,,106,,9,9,,,,,115
Architecture,ARCH,,2,,5,,7,,,,,,,,7
,CLAR,,,,1,,1,,,,,,,,1
,COSC,,,2,6,,8,,1,1,,,,,9
,LAUP,,,1,3,,4,,2,2,,,,,6
,VIZA,,1,1,,,2,,1,1,,,,,3
,Subtotal,,3,4,15,,22,,4,4,,,,,26
Business,ACCT,,,3,3,,6,,2,2,,,,,8
Admin,CLBA,7,17,5,6,,35,,,,,,,,35
,,,,,,,,,,,,,,,
,FINC,,,1,6,,7,,,,,,,,7
,INFO,,,1,6,,7,,,,,,,,7
,MGMT,,,1,2,,3,,,,,,,,3
,MKTG,,,6,2,,8,,,,,,,,8
,Subtotal,7,17,17,25,,66,,2,2,,,,,68
Education,CLED,,,,,,,,,,,,,,
,EAHR,,,,5,,5,,1,1,,,,,6
,EPSY,,1,,1,,2,,3,3,2,2,,,7
,HLKN,6,14,12,10,,42,,1,1,1,1,,,44
,TLAC,2,7,1,5,,15,,6,6,3,3,,,24
,Subtotal,8,22,13,21,,64,,11,11,6,6,,,81
