Spring 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Architecture,ARCH,,104,53,,157
,COMG,,43,,,43
,COSC,353,,,,353
,COSL,221,,,,221
,ENDL,182,,,,182
,ENDS,156,,,,156
,LAND,68,38,,,106
,LANL,44,,,,44
,LDEV,,33,,,33
,NUTR,,,1,,1
,URPL,,47,,,47
,URSC,78,,53,,131
,USAR,45,,,,45
,VISL,124,,,,124
,VIST,73,76,,,149
,Subtotal,"1,344",341,107,,"1,792"
Business Admin,ACCT,657,130,19,,806
,AGBU,6,,,,6
,BHNR,157,,,,157
,BUAD,"1,433",80,,,"1,513"
,BUAG,11,,,,11
,EMBA,,103,,,103
,FINC,548,110,12,,670
,INFO,436,,7,,443
,MGMT,264,40,20,,324
,MISY,,155,,,155
,MKTG,398,30,10,,438
,MLER,,51,,,51
,USBU,148,,,,148
,Subtotal,"4,058",699,68,,"4,825"
