Spring 2012,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Veterinary Medicine,BIMS,7,1,1,"1,508",1,2,,52,,,36,,"1,608",
,BIOT,,,,,,,,1,,,,,1,
,EPID,,,,,,,,1,,,,,1,
,GENE,,,,,,,,1,,,6,,7,
,LAMD,,,,,,,,2,,,,,2,
,NUTR,,,,,,,,,,,1,,1,
,STJR,,,,,,,,6,,,,,6,
,TOXI,,,,,,,,4,1,,11,,16,
,USVM,,,,1,,,,,,,,,1,
,VPAT,,,,,,,,5,,,12,,17,
,VPHY,,,,,,,,,,,1,,1,
,VTMD,,,,,,,,,,,,520,520,
,VTMI,,,,,,,,2,,,11,,13,
,Subtotal,7,1,1,"1,509",1,2,,74,1,,78,520,"2,194",
General Studies,GEST,11,22,31,"3,118",,,,,,,,,"3,182",
,TEAM,,,,800,,,,,,,,,800,
,Subtotal,11,22,31,"3,918",,,,,,,,,"3,982",
"Other - Special Populations
University",MARM,,,,,,,,2,,,,,2,
,"MDSC PHLT REEP
Subtotal Total",,,,,1,,,6,,,,,7,
,,,,,,16,,,15,,,,,31,
,,,,,62,,,,9,,,,,71,
,,,,,62,17,,,32,,,,,111,
,,103,673,245,"36,134",116,388,22,"4,431",125,10,"3,851",520,"46,618",
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,
