Spring 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Engineering,OCEN,79,1,3,3,15,2,3,43,,149
,PETE,288,2,29,11,57,,5,234,7,633
,PETL,261,2,18,14,43,,7,18,1,364
,RHEL,12,,1,1,3,,,,,17
,RHEN,26,1,4,2,7,1,3,1,,45
,SENG,2,,,1,,,,9,,12
,USEN,1,,,,1,,,,,2
,Subtotal,"5,966",26,571,269,"1,365",13,164,"1,984",41,"10,399"
G. Bush School of Govt,CAIA,37,,2,4,7,1,,,2,53
,CHLS,15,2,1,3,5,,1,,,27
,CNPM,24,,1,7,4,,,,,36
,INTA,89,,8,2,8,1,3,10,,121
,PSAA,66,2,3,6,12,,2,15,,106
,Subtotal,231,4,15,22,36,2,6,25,2,343
Geosciences,ATMO,31,,,1,1,,,16,,49
,ENGS,98,1,4,1,12,1,2,,,119
,ENST,78,1,2,3,16,,1,1,,102
,GEOG,92,1,1,3,18,,3,17,1,136
,GEOL,163,,10,3,31,,3,35,1,246
,GEOP,39,,6,1,8,,1,25,1,81
,MARB,2,,,,,,,,,2
,METR,101,,2,5,24,,2,1,,135
,OCNG,39,1,2,1,4,,,25,1,73
,SPSG,4,,,,,,,,,4
,USGE,2,,,,,,,,,2
,WMHS,14,,,1,3,,1,14,,33
,Subtotal,663,4,27,19,117,1,13,134,4,982
