Spring 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Liberal Arts,AMST,1,,,1,,,,,,2
,ANTH,215,,8,11,57,,10,14,,315
,CLSS,16,,,,3,,,,,19
,COMM,608,1,15,30,104,,21,10,2,791
,ECON,381,1,42,19,83,2,10,130,3,671
,ENGL,508,6,17,23,126,,14,22,1,717
,FREN,13,,,2,3,,,,1,19
,GERM,6,,,,,,,1,,7
,HISP,11,,,,19,,,9,,39
,HIST,566,2,6,18,106,,14,6,5,723
,INTS,395,2,16,24,161,3,16,5,1,623
,MODL,1,,,,2,,,,,3
,MUSC,15,,2,2,7,,,,,26
,NRSC,7,,1,1,2,,,4,,15
,NUTR,1,,,,,,,,,1
,PERF,7,,,1,1,,,1,,10
,PHIL,73,2,6,2,15,,2,,3,103
,POLS,489,4,29,33,136,,15,12,5,723
,PSYC,907,4,76,68,291,1,19,18,5,"1,389"
,RUSS,12,,,1,4,,,,,17
,SOCI,299,5,19,62,132,1,4,12,2,536
,SPAN,35,,,,42,,,,,77
,TCMS,120,1,5,9,27,,4,1,1,168
,TECR,1,,,,,,,,,1
,THAR,32,,,1,8,,1,,,42
,USLA,6,,,2,2,,,,,10
,WGST,4,,,4,7,,,,,15
,Subtotal,"4,729",28,242,314,"1,338",7,130,245,29,"7,062"
