Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,SPSA,2,2,8,6,,18,,,,,,,,18,
,TOXI,,,,,,,,,,1,1,,,1,
,USAL,,3,23,70,,96,,,,,,,,96,
,WFSC,23,48,86,125,2,284,,29,29,24,24,,,337,
,WISC,,,,,,,,14,14,,,,,14,
,WMHS,,,,,,,,9,9,3,3,,,12,
,Subtotal,287,743,"1,229","1,912",31,"4,202",19,406,425,262,262,,,"4,889",
"Architecture
Business Admin",ARCH,,,,,,,2,50,52,10,10,,,62,
,COMG,,,,,,,,15,15,,,,,15,
,COSC,,1,63,224,1,289,,,,,,,,289,
,COSL,18,77,67,12,,174,,,,,,,,174,
,ENDL,34,51,30,6,,121,,,,,,,,121,
,ENDS,,,15,84,,99,,,,,,,,99,
,LAND,,,8,42,,50,,7,7,,,,,57,
,LANL,3,14,11,1,,29,,,,,,,,29,
,LDEV,,,,,,,,19,19,,,,,19,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,1,25,26,,,,,26,
,URSC,,10,11,21,,42,,,,6,6,,,48,
,USAR,,,9,21,,30,,,,,,,,30,
,VISL,21,39,21,10,,91,,,,,,,,91,
,VIST,,,9,47,,56,1,47,48,,,,,104,
,Subtotal,76,192,244,468,1,981,4,163,167,16,16,,,"1,164",
,ACCT,,6,192,309,2,509,,104,104,15,15,,,628,
,AGBU,,,,6,,6,,,,,,,,6,
,BHNR,,5,54,72,,131,,,,,,,,131,
,BUAD,334,609,142,3,,"1,088",,40,40,,,,,"1,128",
,BUAG,4,4,2,,,10,,,,,,,,10,
,EMBA,,,,,,,,69,69,,,,,69,
,FINC,,2,159,272,,433,,94,94,2,2,,,529,
,INFO,,1,119,188,,308,,,,,,,,308,
,MGMT,,1,74,136,,211,,29,29,9,9,,,249,
,MISY,,,,,,,,54,54,,,,,54,
,MKTG,,3,136,191,,330,,20,20,3,3,,,353,
,MLER,,,,,,,,42,42,,,,,42,
,USBU,,2,35,79,,116,,,,,,,,116,
,Subtotal,338,633,913,"1,256",2,"3,142",,452,452,29,29,,,"3,623",
