Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,1,,,,,1,,,,,,,,1,
,AGBU,,,,,,,,,,,,,,,
,AGCJ,,,2,1,,3,,,,,,,,3,
,AGEC,,,,1,,1,,,,,,,,1,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,,,1,,1,,,,,,,,1,
,AGSC,,,,1,,1,,,,,,,,1,
,AGSM,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,,,,,,
,ALED,,,3,1,,4,,,,,,,,4,
,ANBR,,,,,,,,,,,,,,,
,ANSC,1,1,2,3,,7,,,,,,,,7,
,BAEN,,,,1,,1,,,,,,,,1,
,BESC,,,1,,,1,,,,,,,,1,
,BICH,,,,1,,1,,,,1,1,,,2,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,1,,1,,,,,,,,1,
,FISC,,,,,,,,,,,,,,,
,FIVL,1,,,,,1,,,,,,,,1,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,,,,,,
,FSTC,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,HORT,,,,3,,3,,,,,,,,3,
,MEPS,,,,,,,,,,,,,,,
,NRDV,,,,,,,,,,,,,,,
,NUSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,,,,,,
,POSC,,,1,1,,2,,,,,,,,2,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,,2,,2,,,,,,,,2,
,RLEM,,,,,,,,,,,,,,,
,RPTS,,,1,,,1,,,,,,,,1,
,SOSC,,,,,,,,,,,,,,,
