Texas A&M University,,,,,,,,,,,,,,,,,
Data and Research Services,,,,,,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Summer 2012,,,,,,,,,,,,,,,,,
Student Head Count by Level (College Station Campus) Change by Level from Previous Summer,,,,,,,,,,,,,,,,,
Enrollment Profile – Summer 2012,,,,,,,,,,,,,,,,,
Official 12th Class Day Data -- Not-Certified,,,,,,,,,,,,,,,,,
,,Undergraduate,,,Masters,,,PhD,,,Professional,,,Total,,,
,,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,2012,2011,% Chg,
College,Total,"11,645        11,725",,-0.7%,"2,767          2,684",,3.1%,"2,695           2,712",,-0.6%,163        145,,12.4%,"17,270        17,266",,0.0%,
,Agriculture,"2,138           2,094",,2.1%,373                435,,-14.3%,421                441,,-4.5%,,,,"2,932            2,970",,-1.3%,
,Architecture,500               427,,17.1%,139                128,,8.6%,28                  27,,3.7%,,,,667               582,,14.6%,
,Business Admin,"1,302            1,338",,-2.7%,432               358,,20.7%,59                  60,,-1.7%,,,,"1,793             1,756",,2.1%,
,Education,"1,449            1,366",,6.1%,415                376,,10.4%,423                431,,-1.9%,,,,"2,287             2,173",,5.2%,
,Engineering,"2,152           2,365",,-9.0%,792                817,,-3.1%,872               899,,-3.0%,,,,"3,816            4,081",,-6.5%,
,G. Bush School of Govt,,,,111                102,,8.8%,,,,,,,111                102,,8.8%,
,Geosciences,244               236,,3.4%,94                  92,,2.2%,102                104,,-1.9%,,,,440               432,,1.9%,
,Liberal Arts,"2,107           2,091",,0.8%,104                  91,,14.3%,252                225,,12.0%,,,,"2,463            2,406",,2.4%,
,Science,518              540,,-4.1%,228                221,,3.2%,465                456,,2.0%,,,,"1,211             1,217",,-0.5%,
,Veterinary Medicine,377               328,,14.9%,68                  47,,44.7%,73                  68,,7.4%,163         145,,12.4%,681               589,,15.6%,
,General Studies,849               928,,-8.5%,,,,,,,,,,849               928,,-8.5%,
,Other - Special Populations,9                  12,,-25.0%,11                   17,,-35.3%,1,,,,,,20                  30,,-33.3%,
Gender,Female,"5,522           5,583",,-1.1%,"1,222             1,190",,2.7%,"1,022            1,039",,-1.6%,129         108,,19.4%,"7,895             7,921",,-0.3%,
,Male,"6,123            6,142",,-0.3%,"1,545            1,494",,3.4%,"1,673             1,673",,0.0%,34           37,,-8.1%,"9,375            9,345",,0.3%,
