Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Liberal Arts,PSYC,1,,3,1,,5,,,,,,,,5
,RUSS,1,,,,,1,,,,,,,,1
,SOCI,,,,,,,,1,1,1,1,,,2
,SPAN,,,,,,,,,,,,,,
,TCMS,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,
,Subtotal,3,5,10,22,,40,,2,2,3,3,,,45
"Science
Veterinary Medicine
General Studies",APHY,,,,,,,,,,1,1,,,1
,APMS,,1,1,,,2,,,,,,,,2
,BIOL,,,,3,,3,,,,,,,,3
,BMCB,,,,,,,,,,,,,,
,CHEM,,,1,,,1,,,,1,1,,,2
,MATH,,1,1,4,,6,,,,1,1,,,7
,MBIO,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,
,PHYS,,,,,,,,2,2,2,2,,,4
,STAT,,,,,,,1,,1,1,1,,,2
,USSC,,,,,,,,,,,,,,
,ZOOL,,1,,,,1,,,,,,,,1
,Subtotal,,3,3,7,,13,1,2,3,6,6,,,22
,BIMS,1,,1,6,,8,,1,1,,,,,9
,BIOT,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,
,STJR,,,,,,,,1,1,,,,,1
,TOXI,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,2,2,2
,VTMI,,,,,,,,,,,,,,
,Subtotal,1,,1,6,,8,,2,2,,,2,2,12
,GEST,10,1,1,,,12,,,,,,,,12
,TEAM,1,2,,,,3,,,,,,,,3
,Subtotal,11,3,1,,,15,,,,,,,,15
