Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Business Admin,"MLER USBU
Subtotal",,,,,,,,1,1,,,,,1
,,,,,,,,,,,,,,,
,,,,1,11,,12,,107,107,24,24,,,143
"Education
Engineering",ATTR,,,,,,,,,,,,,,
,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,,,,,
,EDAD,,,,,,,,,,,,,,
,EDCI,,,,,,,,11,11,10,10,,,21
,EDHL,,,1,,,1,,,,,,,,1
,EDIS,,,,,,,,,,,,,,
,EDKI,,1,,,,1,,,,,,,,1
,EDSM,,,2,,,2,,,,,,,,2
,EDTC,,,,,,,,1,1,,,,,1
,EHRD,,,,,,,,5,5,9,9,,,14
,EPSY,,,,,,,,2,2,15,15,,,17
,HEED,,,,,,,,1,1,4,4,,,5
,HLTH,,,,,,,,,,,,,,
,HRDL,,,,,,,,,,,,,,
,HRDV,,,,,,,,,,,,,,
,INST,,,,,,,,,,,,,,
,KINE,,,,,,,,2,2,12,12,,,14
,SPED,,,,,,,,,,,,,,
,SPMT,,,,2,,2,,1,1,,,,,3
,SPSY,,,,,,,,,,1,1,,,1
,TCMG,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,,1,3,2,,6,,23,23,51,51,,,80
,AERL,2,1,,,,3,,,,,,,,3
,AERO,,,,,,,,7,7,26,26,,,33
,BIOT,,,,,,,,10,10,,,,,10
,BMEL,,,,,,,,,,,,,,
,BMEN,,,,1,,1,,7,7,19,19,,,27
,CECL,,,1,1,,2,,,,,,,,2
,CECN,,,1,6,,7,,16,16,29,29,,,52
