Summer 2012,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Other - Special                       GACD
Populations                             MDSC MEEN OCRE PHLT REEP
Subtotal
University                                Total",,,,,,,,,,,,,,,
,,,,,,,1,,1,,,,,1,
,,1,,,,1,,,,,,,,1,
,,,,,,,,,,,,,,,
,,,,,,,1,,1,,,,,1,
,,5,,,,5,,,,,,,,5,
,,6,,,,6,2,,2,,,,,8,
,16,32,54,130,1,233,2,790,792,"1,305","1,305",,,"2,330",
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,
