Summer 2012,,U0: UG Non-Degree,U1: Freshmen,U2: Sophomore,U3: Junior,U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,24,727,"1,274","3,429","6,125",66,"11,645",
"Gender Ethnicity
TAMU Age Categories
College
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation",Female,14,319,584,"1,627","2,942",36,"5,522",
,Male,10,408,690,"1,802","3,183",30,"6,123",
,White Only (NEW),9,430,823,"2,434","4,309",48,"8,053",
,American Indian Only (NEW),,3,2,11,25,,41,
,Asian Only (NEW),2,28,61,165,282,6,544,
,Black Only + 2 or more/1 Black (NEW),,70,89,118,215,,492,
,Hispanic or Latino of any Race (NEW),6,152,223,535,996,10,"1,922",
,Native Hawaii Only (New),,3,2,3,5,,13,
,2 or More/Excluding Black (NEW),2,16,25,73,111,1,228,
,International,1,15,32,54,130,1,233,
,Unknown or Not Reported,4,10,17,36,52,,119,
,<18,,2,,,,,2,
,18-21,15,716,"1,222","2,705","1,904",2,"6,564",
,22-25,7,7,43,658,"3,925",45,"4,685",
,26-30,2,2,8,37,190,11,250,
,31-39,,,,14,83,6,103,
,40+,,,1,15,23,2,41,
,Agriculture,1,29,171,659,"1,254",24,"2,138",
,Architecture,1,5,70,154,267,3,500,
,Business Admin,2,13,116,486,682,3,"1,302",
,Education,,29,94,407,912,7,"1,449",
,Engineering,3,83,196,656,"1,200",14,"2,152",
,Geosciences,,21,17,51,155,,244,
,Liberal Arts,9,29,185,725,"1,150",9,"2,107",
,Science,8,18,61,159,266,6,518,
,Veterinary Medicine,,15,38,87,237,,377,
,General Studies,,485,318,45,1,,849,
,Other - Special Populations,,,8,,1,,9,
,1st Time in College,,477,9,,,,486,
,1st Time Transfer,,5,65,63,12,2,147,
,Readmitted,,1,8,23,54,1,87,
,Continuing,24,244,"1,192","3,343","6,059",63,"10,925",
,Resident Tuition,16,650,"1,124","3,158","5,630",58,"10,636",
,Non-Resident Tuition,5,52,58,89,168,3,375,
,Tuition Exemption/Waiver,3,25,92,182,327,5,634,
,Texas Resident,17,665,"1,175","3,281","5,806",60,"11,004",
,"Non-TX, US Resident",6,48,70,94,188,5,411,
,"Non-TX, Non-US Resident",1,14,29,54,131,1,230,
,< 6 SCH,14,121,544,"1,323","2,379",40,"4,421",
,6-8 SCH,6,560,501,"1,336","2,324",20,"4,747",
,9-11 SCH,3,30,158,461,873,5,"1,530",
,12-14 SCH,1,16,71,296,493,1,878,
,15-17 SCH,,,,13,47,,60,
,>17 SCH,,,,,9,,9,
,Less Than Half Time,9,80,416,"1,005","1,694",26,"3,230",
,Half-Time,11,585,579,"1,541","2,718",32,"5,466",
,Full-Time,4,62,279,883,"1,713",8,"2,949",
,No,22,610,828,"2,209","3,986",43,"7,698",
,Yes,2,117,446,"1,220","2,139",23,"3,947",
,No,14,472,843,"2,416","4,169",43,"7,957",
,Unknown,9,45,87,118,286,7,552,
,Yes,1,210,344,895,"1,670",16,"3,136",
"Prepared by DARS, 22 Aug 12",,,,,,,,,
