Top 10,,,,,,,,
Summer 2012  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students   % Total,,,,,
United States,,,345,,,88.2%,,
India,,,22,,,5.6%,,
"China, People's Rep of",,,8,,,2.0%,,
"Korea, Republic of",,,2,,,0.5%,,
Other Foreign or US,,,2,,,0.5%,,
Mexico,,,1,,,0.3%,,
Kuwait,,,1,,,0.3%,,
Kenya,,,1,,,0.3%,,
Japan,,,1,,,0.3%,,
Iran,,,1,,,0.3%,,
Texas County     Students   % Total,,,,,,,,
Harris,,73,,,18.7%,,,
Tarrant,,23,,,5.9%,,,
Dallas,,21,,,5.4%,,,
Brazos,,18,,,4.6%,,,
Bexar,,17,,,4.3%,,,
Collin,,17,,,4.3%,,,
Montgomery,,14,,,3.6%,,,
Fort Bend,,13,,,3.3%,,,
Travis,,12,,,3.1%,,,
Williamson,,10,,,2.6%,,,
State,Students   % Total,,,,,,,
Texas,319,,,81.6%,,,,
California,3,,,0.8%,,,,
Missouri,2,,,0.5%,,,,
Oklahoma,2,,,0.5%,,,,
Arkansas,1,,,0.3%,,,,
Alabama,1,,,0.3%,,,,
Maine,1,,,0.3%,,,,
Kansas,1,,,0.3%,,,,
Iowa,1,,,0.3%,,,,
Illinois,1,,,0.3%,,,,
Page 152,,,,,,,,
