Country,Undergraduate,Masters,PhD,Professional,Total Students,
Guatemala,5,2,4,,11,
Haiti,,1,,,1,
Honduras,3,2,2,,7,
Hong Kong,2,,3,,5,
India,16,262,193,,471,
Indonesia,4,6,2,,12,
Iran,,17,87,,104,
Iraq,2,9,,,11,
Ireland,,,1,,1,
Israel,1,1,,,2,
Italy,4,3,4,,11,
Jamaica,2,,1,,3,
Japan,1,5,10,,16,
Jordan,,2,7,,9,
Kazakhstan,,,1,,1,
Kenya,1,,4,,5,
"Korea, Republic of",18,37,169,,224,
Kuwait,1,1,3,,5,
Latvia,,1,,,1,
Lebanon,,1,8,,9,
Luxembourg,1,,,,1,
Macao,1,1,,,2,
Malaysia,11,4,4,,19,
Mauritius,,,1,,1,
Mexico,17,14,24,,55,
Mongolia,,1,,,1,
Morocco,,1,,,1,
Nepal,8,10,8,,26,
New Zealand,,,2,,2,
Nicaragua,3,,,,3,
Nigeria,6,7,10,,23,
Oman,2,2,2,,6,
Other Foreign or US,11,3,1,,15,
Pakistan,7,1,6,,14,
Panama,2,1,5,,8,
Papua New Guinea,,1,,,1,
Peru,,5,5,,10,
Page 154,,,,,,
