Summer 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,3,,3,,,,,,,,,,,1,1,,,,,,3,1,4,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,2,,2,,,,,,,,,,,,,,,,,,2,,2,
,22-25,1,,1,,,,,,,,,,,1,1,,,,,,1,1,2,
,26-30,,,,,,,,,,,,,,,,,,,,,,,,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,2,,2,,,,,,,,,,,,,,,,,,2,,2,
,Junior,1,,1,,,,,,,,,,,,,,,,,,1,,1,
,Senior,,,,,,,,,,,,,,1,1,,,,,,,1,1,
,PB,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,3,,3,,,,,,,,,,,1,1,,,,,,3,1,4,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,3,,3,,,,,,,,,,,1,1,,,,,,3,1,4,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,2,,2,,,,,,,,,,,,,,,,,,2,,2,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,1,,1,,,,,,,,,,,1,1,,,,,,1,1,2,
,12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,2,,2,,,,,,,,,,,,,,,,,,2,,2,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,1,,1,,,,,,,,,,,1,1,,,,,,1,1,2,
,No,1,,1,,,,,,,,,,,,,,,,,,1,,1,
,Yes,2,,2,,,,,,,,,,,1,1,,,,,,2,1,3,
,No,2,,2,,,,,,,,,,,1,1,,,,,,2,1,3,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,1,,1,,,,,,,,,,,,,,,,,,1,,1,
,Off-campus,3,,3,,,,,,,,,,,1,1,,,,,,3,1,4,
,Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,
