Demographic Summary by Texas Top 10% Status First-Time In College Students (College Station Campus),,,,,,,,
"Prepared by DARS, 22 Aug 12",,,,,,,,
Summer 2012,,Top 10% Texas High School,,,,Grand Total,,
,,Yes,,No,,#,%,
,,#,%,#,%,,,
Headcount Total,,51,10.5%,435,89.5%,486,100.0%,
"Gender Ethnicity
TAMU Age Categories
College
Enrollment Status Tuition Status
Residency Status
SCH Categories Ft/Pt: TAMU Status First Generation",Female,20,9.1%,199,90.9%,219,100.0%,
,Male,31,11.6%,236,88.4%,267,100.0%,
,White Only (NEW),20,6.6%,285,93.4%,305,100.0%,
,American Indian Only (NEW),,,3,100.0%,3,100.0%,
,Asian Only (NEW),3,25.0%,9,75.0%,12,100.0%,
,Black Only + 2 or more/1 Black (NEW),4,10.8%,33,89.2%,37,100.0%,
,Hispanic or Latino of any Race (NEW),23,20.5%,89,79.5%,112,100.0%,
,Native Hawaii Only (New),,,3,100.0%,3,100.0%,
,2 or More/Excluding Black (NEW),1,9.1%,10,90.9%,11,100.0%,
,International,,,2,100.0%,2,100.0%,
,Unknown or Not Reported,,,1,100.0%,1,100.0%,
,<18,1,50.0%,1,50.0%,2,100.0%,
,18-21,50,10.4%,433,89.6%,483,100.0%,
,22-25,,,1,100.0%,1,100.0%,
,Agriculture,,,6,100.0%,6,100.0%,
,Architecture,1,50.0%,1,50.0%,2,100.0%,
,Business Admin,3,33.3%,6,66.7%,9,100.0%,
,Education,,,13,100.0%,13,100.0%,
,Engineering,30,88.2%,4,11.8%,34,100.0%,
,Geosciences,11,68.8%,5,31.3%,16,100.0%,
,Liberal Arts,,,9,100.0%,9,100.0%,
,Science,1,20.0%,4,80.0%,5,100.0%,
,Veterinary Medicine,1,50.0%,1,50.0%,2,100.0%,
,General Studies,4,1.0%,386,99.0%,390,100.0%,
,1st Time in College,51,10.5%,435,89.5%,486,100.0%,
,Resident Tuition,50,10.9%,410,89.1%,460,100.0%,
,Non-Resident Tuition,,,24,100.0%,24,100.0%,
,Tuition Exemption/Waiver,1,50.0%,1,50.0%,2,100.0%,
,Texas Resident,51,11.0%,413,89.0%,464,100.0%,
,"Non-TX, US Resident",,,21,100.0%,21,100.0%,
,"Non-TX, Non-US Resident",,,1,100.0%,1,100.0%,
,< 6 SCH,13,72.2%,5,27.8%,18,100.0%,
,6-8 SCH,38,8.1%,430,91.9%,468,100.0%,
,Less Than Half Time,1,33.3%,2,66.7%,3,100.0%,
,Half-Time,50,10.4%,433,89.6%,483,100.0%,
,No,27,5.6%,299,61.5%,326,67.1%,
,Unknown,,,13,2.7%,13,2.7%,
,Yes,24,4.9%,123,25.3%,147,30.2%,
