Summer 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Engineering,AERO,150,,9,5,25,,5,37,7,238
,BMEN,110,,15,4,20,,5,29,7,190
,CHEN,116,,28,6,40,1,4,107,2,304
,CLEN,1,,3,,1,,,,,5
,CSCE,138,1,18,14,36,,3,137,3,350
,CVEN,256,1,14,11,62,2,4,156,10,516
,ECEN,153,,37,11,51,,10,243,9,514
,ETID,188,1,11,8,43,,1,4,,256
,ISEN,153,1,18,13,58,,5,82,3,333
,MEEN,269,3,22,10,66,1,5,167,2,545
,NUEN,125,1,9,5,25,1,3,38,,207
,PETE,106,1,20,10,28,,3,182,8,358
,Subtotal,"1,765",9,204,97,455,5,48,"1,182",51,"3,816"
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,80,1,4,7,11,,4,3,1,111
,Subtotal,80,1,4,7,11,,4,3,1,111
,ATMO,47,,1,1,6,,1,16,,72
,CLGE,32,1,3,,3,,,,,39
,GEOG,62,2,1,3,13,,2,10,,93
,GEPL,93,1,10,1,22,,3,34,14,178
,OCNG,27,1,1,1,4,,,23,1,58
,Subtotal,261,5,16,6,48,,6,83,15,440
,ANTH,53,,1,4,20,,1,2,,81
,CLLA,157,1,9,13,57,,7,3,,247
,COMM,205,1,6,11,25,,7,5,1,261
,ECON,178,1,16,11,31,,3,64,2,306
,ENGL,148,2,8,11,39,,8,6,,222
,EURO,13,,,,3,,1,1,1,19
,HISP,13,,,,30,,,4,,47
,HIST,158,,3,3,35,,7,4,1,211
,PHUM,26,1,3,1,6,,,,1,38
,POLS,155,,14,13,41,,4,5,1,233
,PRFM,15,,,2,4,,,,,21
,PSYC,359,1,31,27,104,,5,16,2,545
,SOCI,118,,8,38,58,,2,5,3,232
,Subtotal,"1,598",7,99,134,453,,45,115,12,"2,463"
