Summer 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Agriculture,AGEC,56,148,,,,,1,1,6,16,,,2,3,18,20,,2,83,190,273
,ALEC,251,210,4,2,1,2,14,41,25,27,,,7,6,4,3,,1,306,292,598
,ANSC,184,79,3,,3,,4,1,24,12,,1,4,2,4,4,1,,227,99,326
,BAEN,16,71,,1,2,4,1,1,6,23,,,,4,13,17,,,38,121,159
,BCBP,37,58,,1,8,8,7,2,9,13,,,2,2,19,34,5,5,87,123,210
,CLAG,12,22,,,1,,4,,3,4,,,1,,,,,,21,26,47
,ENTO,37,22,,,2,3,,1,13,7,,,1,,4,5,6,4,63,42,105
,ESSM,26,49,,,1,1,2,,6,17,,,1,2,9,5,,,45,74,119
,HRSC,50,22,,,1,,,,2,4,,,1,,6,7,,,60,33,93
,NFSC,141,28,,,12,4,9,4,23,9,1,,7,2,13,3,,,206,50,256
,PLPM,31,33,,,1,6,4,3,26,17,,,,1,5,8,4,5,71,73,144
,POSC,20,28,,,1,,1,1,9,4,,,1,,4,3,,,36,36,72
,RPTS,115,73,1,,3,2,5,13,13,11,1,,2,2,6,1,,,146,102,248
,SCSC,17,62,,,,3,1,1,4,6,,,,1,16,18,,,38,91,129
,WFSC,57,42,1,,,,2,1,23,17,,,1,,4,4,1,,89,64,153
,Subtotal,"1,050",947,9,4,36,33,55,70,192,187,2,1,30,25,125,132,17,17,"1,516","1,416","2,932"
Architecture,ARCH,36,43,,,4,,1,,15,13,,,1,,12,11,1,,70,67,137
,CLAR,5,15,,,,,,1,2,4,,,,1,,,,,7,21,28
,COSC,20,224,,2,,2,2,3,11,32,,,,5,3,10,,,36,278,314
,LAUP,12,33,,,,,1,5,4,5,1,,,2,16,12,1,,35,57,92
,VIZA,33,33,,,3,3,,,6,5,,,,1,3,8,1,,46,50,96
,Subtotal,106,348,,2,7,5,4,9,38,59,1,,1,9,34,41,3,,194,473,667
Business Admin,ACCT,217,168,,,11,14,9,6,34,15,,,4,2,11,4,1,2,287,211,498
,CLBA,115,137,,1,6,18,15,14,20,21,,1,6,1,7,9,1,1,170,203,373
,FINC,90,170,,,2,13,2,,12,25,,,1,1,3,8,,1,110,218,328
,INFO,50,84,1,1,6,5,5,1,11,14,,,,1,20,63,,,93,169,262
,MGMT,58,43,,,6,4,2,2,13,8,,,,1,4,2,,4,83,64,147
,MKTG,101,41,,,4,1,2,2,10,5,,,5,2,6,6,,,128,57,185
,Subtotal,631,643,1,2,35,55,35,25,100,88,,1,16,8,51,92,2,8,871,922,"1,793"
"Education
Engineering
G. Bush School of Govt Geosciences",CLED,2,,,,,,,,,,,,,,,,,,2,,2
,EAHR,172,113,,,15,4,29,17,63,42,,1,3,2,9,5,,1,291,185,476
,EPSY,110,13,,,7,1,14,2,50,11,,,6,1,16,3,,2,203,33,236
,HLKN,371,274,1,1,17,9,30,30,78,65,1,,11,7,11,15,1,,521,401,922
,TLAC,441,54,2,,7,,39,11,49,12,,,9,2,13,8,2,2,562,89,651
,Subtotal,"1,096",454,3,1,46,14,112,60,240,130,1,1,29,12,49,31,3,5,"1,579",708,"2,287"
,AERO,23,127,,,1,8,2,3,6,19,,,,5,3,34,1,6,36,202,238
,BMEN,39,71,,,5,10,2,2,7,13,,,1,4,9,20,2,5,65,125,190
,CHEN,33,83,,,9,19,2,4,17,23,,1,,4,34,73,1,1,96,208,304
,CLEN,,1,,,1,2,,,,1,,,,,,,,,1,4,5
,CSCE,14,124,1,,3,15,2,12,5,31,,,1,2,20,117,1,2,47,303,350
,CVEN,63,193,,1,4,10,2,9,21,41,,2,1,3,36,120,4,6,131,385,516
,ECEN,17,136,,,8,29,2,9,9,42,,,1,9,40,203,1,8,78,436,514
,ETID,23,165,,1,2,9,4,4,5,38,,,,1,,4,,,34,222,256
,ISEN,21,132,1,,1,17,4,9,16,42,,,2,3,21,61,1,2,67,266,333
,MEEN,31,238,1,2,2,20,2,8,15,51,1,,1,4,40,127,1,1,94,451,545
,NUEN,27,98,,1,1,8,,5,6,19,1,,,3,5,33,,,40,167,207
,PETE,14,92,,1,5,15,1,9,8,20,,,,3,47,135,1,7,76,282,358
,Subtotal,305,"1,460",3,6,42,162,23,74,115,340,2,3,7,41,255,927,13,38,765,"3,051","3,816"
,BUSH,24,56,1,,3,1,4,3,7,4,,,2,2,3,,,1,44,67,111
,Subtotal,24,56,1,,3,1,4,3,7,4,,,2,2,3,,,1,44,67,111
,ATMO,14,33,,,1,,,1,2,4,,,,1,3,13,,,20,52,72
,CLGE,13,19,,1,1,2,,,2,1,,,,,,,,,16,23,39
,GEOG,17,45,1,1,1,,1,2,8,5,,,1,1,6,4,,,35,58,93
,GEPL,30,63,1,,2,8,1,,10,12,,,1,2,12,22,11,3,68,110,178
,OCNG,20,7,1,,,1,1,,3,1,,,,,11,12,,1,36,22,58
,Subtotal,94,167,3,2,5,11,3,3,25,23,,,2,4,32,51,11,4,175,265,440
