White Only (NEW),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,6,58,119,2,185,,17,17,2,2,,,204,
,ALEC,1,28,133,225,2,389,1,43,44,28,28,,,461,
,ANSC,,30,59,120,3,212,,31,31,20,20,,,263,
,BAEN,2,4,22,44,,72,,13,13,2,2,,,87,
,BCBP,2,3,9,20,1,35,,16,16,44,44,,,95,
,CLAG,1,5,18,9,,33,1,,1,,,,,34,
,ENTO,,,5,30,1,36,,6,6,17,17,,,59,
,ESSM,,4,16,28,,48,1,17,18,9,9,,,75,
,HRSC,,3,22,32,1,58,,11,11,3,3,,,72,
,NFSC,1,5,46,91,4,147,,14,14,8,8,,,169,
,PLPM,,3,17,37,,57,,2,2,5,5,,,64,
,POSC,,,12,22,,34,,11,11,3,3,,,48,
,RPTS,,16,62,102,2,182,,4,4,2,2,,,188,
,SCSC,,1,4,17,,22,1,31,32,25,25,,,79,
,WFSC,1,3,19,37,,60,1,25,26,13,13,,,99,
,Subtotal,8,111,502,933,16,"1,570",5,241,246,181,181,,,"1,997",
Architecture,ARCH,2,16,14,22,,54,,20,20,5,5,,,79,
,CLAR,,,3,17,,20,,,,,,,,20,
,COSC,2,21,76,135,1,235,,9,9,,,,,244,
,LAUP,,4,10,15,,29,,14,14,2,2,,,45,
,VIZA,,9,20,16,,45,1,20,21,,,,,66,
,Subtotal,4,50,123,205,1,383,1,63,64,7,7,,,454,
Business Admin,ACCT,,2,87,198,2,289,,82,82,14,14,,,385,
,CLBA,7,76,109,53,,245,,7,7,,,,,252,
,FINC,,,65,93,,158,,102,102,,,,,260,
,INFO,,1,43,49,,93,,41,41,,,,,134,
,MGMT,,,27,55,1,83,,12,12,6,6,,,101,
,MKTG,,,33,87,,120,,19,19,3,3,,,142,
,Subtotal,7,79,364,535,3,988,,263,263,23,23,,,"1,274",
Education,CLED,,,1,,1,2,,,,,,,,2,
,EAHR,,4,44,118,,166,1,47,48,71,71,,,285,
,EPSY,,9,18,26,,53,2,26,28,42,42,,,123,
,HLKN,11,37,167,340,6,561,1,58,59,25,25,,,645,
,TLAC,3,20,76,203,,302,5,127,132,61,61,,,495,
,Subtotal,14,70,306,687,7,"1,084",9,258,267,199,199,,,"1,550",
