Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                     BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,,,,1,,1,,,,,,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,,1,,,,,1,
,,,,,1,,1,1,,1,2,2,,,4,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,,,,,,,,,,,,,,,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARS MEEN SABX SRPH
Subtotal Total",,,,,,,,,,,,,,,
,,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,1,1,,,,,1,
,,3,2,,,,5,,,,,,,,5,
,,3,2,,,,5,,,,,,,,5,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,3,2,11,25,,41,2,6,8,5,5,,,54,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,
