Asian Only (NEW),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,,,,,,,,,,,,,
,ALEC,,,,3,,3,,,,,,,,3,
,ANSC,,,,3,,3,,,,,,,,3,
,BAEN,1,,,3,1,5,,,,1,1,,,6,
,BCBP,2,1,3,10,,16,,,,,,,,16,
,CLAG,,,,,1,1,,,,,,,,1,
,ENTO,,,1,2,,3,,2,2,,,,,5,
,ESSM,,,,1,,1,,,,1,1,,,2,
,HRSC,,,,,,,,,,1,1,,,1,
,NFSC,,,4,9,1,14,,1,1,1,1,,,16,
,PLPM,,,1,6,,7,,,,,,,,7,
,POSC,,,,,,,,1,1,,,,,1,
,RPTS,,,,4,,4,,,,1,1,,,5,
,SCSC,,,1,,,1,,,,2,2,,,3,
,WFSC,,,,,,,,,,,,,,,
,Subtotal,3,1,10,41,3,58,,4,4,7,7,,,69,
Architecture,ARCH,,1,1,2,,4,,,,,,,,4,
,CLAR,,,,,,,,,,,,,,,
,COSC,,,1,1,,2,,,,,,,,2,
,LAUP,,,,,,,,,,,,,,,
,VIZA,,,2,,,2,,4,4,,,,,6,
,Subtotal,,1,4,3,,8,,4,4,,,,,12,
Business Admin,ACCT,,,7,13,,20,,3,3,2,2,,,25,
,CLBA,,8,8,2,,18,,6,6,,,,,24,
,FINC,,,6,5,,11,,3,3,1,1,,,15,
,INFO,,,3,4,,7,,4,4,,,,,11,
,MGMT,,,1,4,,5,,3,3,2,2,,,10,
,MKTG,,,3,1,,4,,1,1,,,,,5,
,Subtotal,,8,28,29,,65,,20,20,5,5,,,90,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,5,3,,8,,5,5,6,6,,,19,
,EPSY,,,,,,,1,1,2,6,6,,,8,
,HLKN,,1,9,11,,21,,2,2,3,3,,,26,
,TLAC,,,1,1,,2,,4,4,1,1,,,7,
,Subtotal,,1,15,15,,31,1,12,13,16,16,,,60,
