Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,1,1,,2,,,,,,,,2,
,ALEC,5,12,9,22,,48,1,3,4,3,3,,,55,
,ANSC,,,,3,,3,,2,2,,,,,5,
,BAEN,,,,1,,1,,,,1,1,,,2,
,BCBP,2,,3,3,,8,,,,1,1,,,9,
,CLAG,2,1,1,,,4,,,,,,,,4,
,ENTO,,,,,,,,,,1,1,,,1,
,ESSM,,,,,,,,1,1,1,1,,,2,
,HRSC,,,,,,,,,,,,,,,
,NFSC,,1,3,7,,11,,2,2,,,,,13,
,PLPM,,1,2,3,,6,,,,1,1,,,7,
,POSC,,,,,,,,,,2,2,,,2,
,RPTS,,2,8,3,,13,,1,1,4,4,,,18,
,SCSC,,,,1,,1,,,,1,1,,,2,
,WFSC,,,,2,,2,,1,1,,,,,3,
,Subtotal,9,17,27,46,,99,1,10,11,15,15,,,125,
Architecture,ARCH,,,,,,,,1,1,,,,,1,
,CLAR,,,,1,,1,,,,,,,,1,
,COSC,,,1,3,,4,,1,1,,,,,5,
,LAUP,,1,,1,,2,,3,3,1,1,,,6,
,VIZA,,,,,,,,,,,,,,,
,Subtotal,,1,1,5,,7,,5,5,1,1,,,13,
Business Admin,ACCT,,,2,8,,10,,5,5,,,,,15,
,CLBA,5,10,7,3,,25,,4,4,,,,,29,
,FINC,,,1,1,,2,,,,,,,,2,
,INFO,,,1,3,,4,,2,2,,,,,6,
,MGMT,,,2,,,2,,1,1,1,1,,,4,
,MKTG,,,1,2,,3,,1,1,,,,,4,
,Subtotal,5,10,14,17,,46,,13,13,1,1,,,60,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,4,10,,14,,7,7,25,25,,,46,
,EPSY,,,1,1,,2,1,3,4,10,10,,,16,
,HLKN,9,6,6,21,,42,,12,12,6,6,,,60,
,TLAC,1,2,1,5,,9,1,7,8,33,33,,,50,
,Subtotal,10,8,12,37,,67,2,29,31,74,74,,,172,
