Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,2,2,,2,,6,,,,1,1,,,7
,BMEN,1,1,4,1,,7,,,,,,,,7
,CHEN,,,,2,,2,,,,,,,,2
,CLEN,,,,,,,,,,,,,,
,CSCE,,,1,1,,2,,1,1,,,,,3
,CVEN,,,2,7,,9,,1,1,,,,,10
,ECEN,,3,2,2,,7,,1,1,1,1,,,9
,ETID,,,,,,,,,,,,,,
,ISEN,,1,1,1,,3,,,,,,,,3
,MEEN,,,1,1,,2,,,,,,,,2
,NUEN,,,,,,,,,,,,,,
,PETE,,,1,1,,2,,6,6,,,,,8
,Subtotal,3,7,12,18,,40,,9,9,2,2,,,51
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,1,,1,,,,,1
,Subtotal,,,,,,,1,,1,,,,,1
,ATMO,,,,,,,,,,,,,,
,CLGE,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,,,,,
,GEPL,3,1,2,6,,12,,,,2,2,,,14
,OCNG,,,,,,,,1,1,,,,,1
,Subtotal,3,1,2,6,,12,,1,1,2,2,,,15
,ANTH,,,,,,,,,,,,,,
,CLLA,,,,,,,,,,,,,,
,COMM,,,,1,,1,,,,,,,,1
,ECON,,,1,1,,2,,,,,,,,2
,ENGL,,,,,,,,,,,,,,
,EURO,,,1,,,1,,,,,,,,1
,HISP,,,,,,,,,,,,,,
,HIST,,,,,,,,,,1,1,,,1
,PHUM,,,,,,,,,,1,1,,,1
,POLS,,,1,,,1,,,,,,,,1
,PRFM,,,,,,,,,,,,,,
,PSYC,,,,2,,2,,,,,,,,2
,SOCI,,1,,1,,2,,,,1,1,,,3
,Subtotal,,1,3,5,,9,,,,3,3,,,12
