Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Business Admin,ACCT,375,106,17,,498
,AGBU,4,,,,4
,BHNR,42,,,,42
,BUAD,234,34,,,268
,FINC,199,83,9,,291
,INFO,132,,7,,139
,MGMT,111,19,17,,147
,MISY,,123,,,123
,MKTG,146,30,9,,185
,MLER,,37,,,37
,USBU,59,,,,59
,Subtotal,"1,302",432,59,,"1,793"
Education,ATTR,,11,,,11
,BIED,,10,,,10
,CPSY,,9,26,,35
,EDAD,,39,102,,141
,EDCI,,179,114,,293
,EDHL,176,,,,176
,EDIS,102,,,,102
,EDKI,131,,,,131
,EDSM,94,,,,94
,EDTC,,3,,,3
,EHRD,,49,48,,97
,EPSY,,19,47,,66
