Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"2,152",100.0%,792,100.0%,872,100.0%,,,"3,816",100.0%,
,,407,18.9%,187,23.6%,171,19.6%,,,765,20.0%,
,,"1,745",81.1%,605,76.4%,701,80.4%,,,"3,051",80.0%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),"1,341",62.3%,274,34.6%,150,17.2%,,,"1,765",46.3%,
,American Indian Only (NEW),7,.3%,1,.1%,1,.1%,,,9,.2%,
,Asian Only (NEW),146,6.8%,33,4.2%,25,2.9%,,,204,5.3%,
,Black Only + 2 or more/1 Black (NEW),74,3.4%,12,1.5%,11,1.3%,,,97,2.5%,
,Hispanic or Latino of any Race (NEW),369,17.1%,59,7.4%,27,3.1%,,,455,11.9%,
,Native Hawaii Only (New),5,.2%,,,,,,,5,.1%,
,2 or More/Excluding Black (NEW),39,1.8%,7,.9%,2,.2%,,,48,1.3%,
,International,131,6.1%,397,50.1%,654,75.0%,,,"1,182",31.0%,
,Unknown or Not Reported,40,1.9%,9,1.1%,2,.2%,,,51,1.3%,
,<18,2,.1%,,,,,,,2,.1%,
,18-21,"1,160",53.9%,2,.3%,,,,,"1,162",30.5%,
,22-25,902,41.9%,457,57.7%,84,9.6%,,,"1,443",37.8%,
,26-30,56,2.6%,259,32.7%,529,60.7%,,,844,22.1%,
,31-39,27,1.3%,67,8.5%,244,28.0%,,,338,8.9%,
,40+,5,.2%,7,.9%,15,1.7%,,,27,.7%,
,1st Time in College,34,1.6%,,,,,,,34,.9%,
,1st Time PB,,,3,.4%,,,,,3,.1%,
,1st Time Graduate,,,33,4.2%,19,2.2%,,,52,1.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,13,.6%,,,,,,,13,.3%,
,Readmitted,9,.4%,,,,,,,9,.2%,
,Continuing,"2,096",97.4%,756,95.5%,853,97.8%,,,"3,705",97.1%,
,Resident Tuition,"1,843",85.6%,300,37.9%,116,13.3%,,,"2,259",59.2%,
,Non-Resident Tuition,114,5.3%,215,27.1%,136,15.6%,,,465,12.2%,
,Tuition Exemption/Waiver,195,9.1%,277,35.0%,620,71.1%,,,"1,092",28.6%,
,Texas Resident,"1,914",88.9%,312,39.4%,133,15.3%,,,"2,359",61.8%,
,"Non-TX, US Resident",107,5.0%,81,10.2%,83,9.5%,,,271,7.1%,
,"Non-TX, Non-US Resident",131,6.1%,399,50.4%,656,75.2%,,,"1,186",31.1%,
,< 6 SCH,866,40.2%,392,49.5%,185,21.2%,,,"1,443",37.8%,
,6-8 SCH,916,42.6%,375,47.3%,669,76.7%,,,"1,960",51.4%,
,9-11 SCH,272,12.6%,25,3.2%,14,1.6%,,,311,8.1%,
,12-14 SCH,94,4.4%,,,4,.5%,,,98,2.6%,
,15-17 SCH,4,.2%,,,,,,,4,.1%,
,>17 SCH,,,,,,,,,,,
,Less Than Half Time,584,27.1%,211,26.6%,151,17.3%,,,946,24.8%,
,Half-Time,"1,032",48.0%,175,22.1%,35,4.0%,,,"1,242",32.5%,
,Full-Time,536,24.9%,406,51.3%,686,78.7%,,,"1,628",42.7%,
,No,"1,248",58.0%,776,98.0%,841,96.4%,,,"2,865",75.1%,
,Yes,904,42.0%,16,2.0%,31,3.6%,,,951,24.9%,
,No,"1,495",69.5%,450,56.8%,484,55.5%,,,"2,429",63.7%,
,Unknown,196,9.1%,223,28.2%,128,14.7%,,,547,14.3%,
,Yes,461,21.4%,119,15.0%,260,29.8%,,,840,22.0%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
