Summer 2012,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Geosciences,ATMO,,,,,,1,,22,,,24,,47
,ENGS,,,,38,,,,,,,,,38
,ENST,,,,36,,,,,,,,,36
,GEOG,,1,,24,,,1,6,,,12,,44
,GEOL,13,,,83,1,1,,21,,,17,,136
,GEOP,3,,1,16,,,,5,,,12,,37
,GEOS,,,,,,1,,1,,,,,2
,MARB,,,,,,,,1,,,,,1
,METR,,,,25,,,,,,,,,25
,OCNG,,,,,,1,,24,,,32,,57
,SPSG,,,,3,,,,,,,,,3
,USGE,,,,1,,,,,,,,,1
,WMHS,,,,,,,,8,,,5,,13
,Subtotal,16,1,1,226,1,4,1,88,,,102,,440
Liberal Arts,ANTH,,,1,64,,,,5,,,11,,81
,CLSS,,,,1,,,,,,,,,1
,COMM,1,6,2,185,,,,2,,,22,,218
,ECON,4,4,4,223,,,,50,,,21,,306
,ENGL,,1,6,182,,,,1,,,32,,222
,FREN,,,,8,,,,,,,,,8
,GERM,,,,3,,,,,,,,,3
,HISP,,,,,,,,,,,17,,17
,HIST,1,3,1,191,,,,2,,,13,,211
,INTS,,3,4,227,,,,,,,,,234
,MUSC,,,,12,,,,,,,,,12
,NRSC,,,,,,,,3,,,10,,13
,NUTR,,,,,,,,1,,,,,1
,PHIL,,,,27,,,,2,,,9,,38
,POLS,,3,2,193,,6,,5,,,24,,233
,PSYC,,4,3,453,,,,17,1,,54,,532
,RUSS,,,,7,,,,,,,,,7
,SOCI,1,3,1,178,,,,10,1,,37,,231
,SPAN,,,2,28,,,,,,,,,30
,TCMS,1,,,42,,,,,,,,,43
,THAR,1,,,8,,,,,,,,,9
,USLA,,,,6,,,,,,,,,6
,WGST,,,,7,,,,,,,,,7
,Subtotal,9,27,26,"2,045",,6,,98,2,,250,,"2,463"
