Summer 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Agriculture,PLPA,6,,,1,8,,,11,1,27
,POSC,45,,,2,12,,1,2,,62
,PREP,2,,,,1,1,,3,,7
,PSSC,,,,1,,,,,,1
,RENR,19,,,,6,,,,,25
,RLEM,27,,1,,10,,2,7,,47
,RPTS,174,1,4,18,21,1,4,7,,230
,SOSC,11,,1,,1,,,4,,17
,SPSA,6,,1,,2,,,,,9
,TOXI,1,,,,,,,1,,2
,USAL,33,,1,3,4,,1,,,42
,WFSC,86,1,,3,38,,1,8,1,138
,WISC,9,,,,1,,,,,10
,WMHS,2,,,,,,,3,,5
,Subtotal,"1,997",13,69,125,379,3,55,257,34,"2,932"
Architecture,ARCH,25,,,1,7,,,22,1,56
,COMG,9,,,1,3,,,10,,23
,COSC,157,1,1,3,29,,3,1,,195
,COSL,78,1,1,1,11,,2,2,,96
,ENDL,29,,2,,15,,,1,,47
,ENDS,25,,2,,6,,1,,,34
,LAND,10,,,,2,,2,16,,30
,LANL,9,,,1,1,,,,,11
,LDEV,11,,,3,,,,3,1,18
,URPL,3,,,,1,,,3,,7
,URSC,12,,,2,5,1,,6,,26
,USAR,20,,,1,6,,1,,,28
,VISL,23,,1,,4,,,,,28
,VIST,43,,5,,7,,1,11,1,68
,Subtotal,454,2,12,13,97,1,10,75,3,667
